06-April-23 09:14:51 - INFO:  ---------------------------------------------------------------------------------------------------
06-April-23 09:15:09 - INFO:  get_all:0.0030047986656427383
06-April-23 09:15:09 - INFO:  get_all:0.0005174409598112106
06-April-23 09:15:09 - INFO:  del_keys:0.0008970862254500389
06-April-23 09:15:09 - INFO:  get_all:0.00054215919226408
06-April-23 09:15:09 - INFO:  get_range:0.0005031926557421684
06-April-23 09:15:09 - INFO:  set_to:0.0004581604152917862
06-April-23 09:15:10 - INFO:  get_range:0.03104450087994337
06-April-23 09:15:10 - INFO:  get_range:0.0006045885384082794
06-April-23 09:15:10 - INFO:  get_range:0.005703930743038654
06-April-23 09:15:10 - INFO:  get_all:0.0006370795890688896
06-April-23 09:15:10 - INFO:  set_multiples:0.0031785359606146812
06-April-23 09:15:10 - INFO:  del_keys:0.0006562480702996254
06-April-23 09:15:10 - INFO:  get_all:0.0033302735537290573
06-April-23 09:15:10 - INFO:  del_keys:0.0007426654919981956
06-April-23 09:15:10 - INFO:  get_all:0.0008192360401153564
06-April-23 09:15:10 - INFO:  set_to:0.0005706213414669037
06-April-23 09:15:10 - INFO:  set_to:0.0005459440872073174
06-April-23 09:15:10 - INFO:  get_all:0.0033159563317894936
06-April-23 09:15:10 - INFO:  get_all:0.0006977245211601257
06-April-23 09:15:10 - INFO:  set_multiples:0.003465409390628338
06-April-23 09:15:10 - INFO:  set_to:0.0006525684148073196
06-April-23 09:15:10 - INFO:  del_keys:0.0007018987089395523
06-April-23 09:15:10 - INFO:  get_all:0.0008423170074820518
06-April-23 09:15:10 - INFO:  set_to:0.0005536060780286789
06-April-23 09:15:10 - INFO:  set_multiples:0.0035535702481865883
06-April-23 09:15:10 - INFO:  get_range:0.0006303563714027405
06-April-23 09:15:10 - INFO:  del_keys:0.0007180087268352509
06-April-23 09:15:10 - INFO:  set_to:0.0005653277039527893
06-April-23 09:15:10 - INFO:  get_all:0.003282192163169384
06-April-23 09:15:10 - INFO:  set_multiples:0.003404471091926098
06-April-23 09:15:10 - INFO:  get_range:0.002875005826354027
06-April-23 09:15:10 - INFO:  get_range:0.002858242020010948
06-April-23 09:15:10 - INFO:  get_all:0.0006979424506425858
06-April-23 09:15:10 - INFO:  set_to:0.0005600079894065857
06-April-23 09:15:10 - INFO:  del_keys:0.0006859861314296722
06-April-23 09:15:10 - INFO:  del_keys:0.0007244599983096123
06-April-23 09:15:10 - INFO:  del_keys:0.0006938083097338676
06-April-23 09:15:10 - INFO:  set_to:0.0005695484578609467
06-April-23 09:15:10 - INFO:  set_multiples:0.0033644521608948708
06-April-23 09:15:10 - INFO:  del_keys:0.0007232856005430222
06-April-23 09:15:10 - INFO:  get_all:0.003297821618616581
06-April-23 09:15:10 - INFO:  get_all:0.0033474117517471313
06-April-23 09:15:10 - INFO:  get_all:0.0033315811306238174
06-April-23 09:15:10 - INFO:  get_all:0.0032064178958535194
06-April-23 09:15:10 - INFO:  get_all:0.0032857488840818405
06-April-23 09:15:10 - INFO:  get_all:0.0006917919963598251
06-April-23 09:15:10 - INFO:  get_all:0.0032653389498591423
06-April-23 09:15:10 - INFO:  del_keys:0.0007263962179422379
06-April-23 09:15:10 - INFO:  get_range:0.0028710439801216125
06-April-23 09:15:10 - INFO:  del_keys:0.0007240064442157745
06-April-23 09:15:10 - INFO:  del_keys:0.000739220529794693
06-April-23 09:15:10 - INFO:  get_all:0.0007034195587038994
06-April-23 09:15:10 - INFO:  get_all:0.0032820813357830048
06-April-23 09:15:10 - INFO:  get_all:0.0007036831229925156
06-April-23 09:15:10 - INFO:  get_all:0.0032560620456933975
06-April-23 09:15:10 - INFO:  set_to:0.0005488237366080284
06-April-23 09:15:10 - INFO:  get_range:0.037268380634486675
06-April-23 09:15:10 - INFO:  get_range:0.0027862610295414925
06-April-23 09:15:10 - INFO:  set_multiples:0.0035954685881733894
06-April-23 09:15:10 - INFO:  get_range:0.036287304013967514
06-April-23 09:15:10 - INFO:  set_multiples:0.003318420611321926
06-April-23 09:15:10 - INFO:  set_multiples:0.003444001078605652
06-April-23 09:15:10 - INFO:  set_multiples:0.003467608243227005
06-April-23 09:15:10 - INFO:  set_multiples:0.003426262177526951
06-April-23 09:15:10 - INFO:  del_keys:0.0007188236340880394
06-April-23 09:15:10 - INFO:  set_multiples:0.0034193210303783417
06-April-23 09:15:10 - INFO:  set_to:0.0005403943359851837
06-April-23 09:15:10 - INFO:  get_all:0.0033325180411338806
06-April-23 09:15:10 - INFO:  get_all:0.000692073255777359
06-April-23 09:15:10 - INFO:  get_all:0.0033624032512307167
06-April-23 09:15:10 - INFO:  get_all:0.0006842995062470436
06-April-23 09:15:10 - INFO:  set_to:0.0005556261166930199
06-April-23 09:15:10 - INFO:  get_range:0.0007007643580436707
06-April-23 09:15:10 - INFO:  set_to:0.0006591817364096642
06-April-23 09:15:10 - INFO:  set_multiples:0.0033869771286845207
06-April-23 09:15:10 - INFO:  set_multiples:0.003454769030213356
06-April-23 09:15:10 - INFO:  del_keys:0.0008351625874638557
06-April-23 09:15:10 - INFO:  get_all:0.0033186236396431923
06-April-23 09:15:10 - INFO:  set_multiples:0.003467266447842121
06-April-23 09:15:10 - INFO:  get_all:0.0006883684545755386
06-April-23 09:15:10 - INFO:  get_range:0.006421039812266827
06-April-23 09:15:10 - INFO:  set_multiples:0.0034365225583314896
06-April-23 09:15:10 - INFO:  set_to:0.0006570694968104362
06-April-23 09:15:10 - INFO:  del_keys:0.0006966805085539818
06-April-23 09:15:10 - INFO:  get_range:0.0365400742739439
06-April-23 09:15:10 - INFO:  set_to:0.0005524102598428726
06-April-23 09:15:10 - INFO:  get_all:0.0006682425737380981
06-April-23 09:15:10 - INFO:  get_range:0.0006853239610791206
06-April-23 09:15:10 - INFO:  set_to:0.0005567669868469238
06-April-23 09:15:10 - INFO:  del_keys:0.0007333047688007355
06-April-23 09:15:10 - INFO:  get_range:0.006415005773305893
06-April-23 09:15:10 - INFO:  get_range:0.002822338603436947
06-April-23 09:15:10 - INFO:  get_all:0.00335522647947073
06-April-23 09:15:10 - INFO:  set_to:0.000649171881377697
06-April-23 09:15:10 - INFO:  get_all:0.003219115547835827
06-April-23 09:15:10 - INFO:  get_all:0.000690738670527935
06-April-23 09:15:10 - INFO:  get_all:0.0008096862584352493
06-April-23 09:15:10 - INFO:  del_keys:0.0007369052618741989
06-April-23 09:15:10 - INFO:  del_keys:0.0007291901856660843
06-April-23 09:15:10 - INFO:  get_all:0.003349481150507927
06-April-23 09:15:10 - INFO:  set_multiples:0.0033852746710181236
06-April-23 09:15:10 - INFO:  get_range:0.006428995169699192
06-April-23 09:15:10 - INFO:  del_keys:0.0008485391736030579
06-April-23 09:15:10 - INFO:  del_keys:0.0007361713796854019
06-April-23 09:15:10 - INFO:  del_keys:0.000736837275326252
06-April-23 09:15:10 - INFO:  set_to:0.0005412371829152107
06-April-23 09:15:10 - INFO:  set_to:0.0005618678405880928
06-April-23 09:15:10 - INFO:  set_multiples:0.003345705568790436
06-April-23 09:15:10 - INFO:  set_to:0.0005529224872589111
06-April-23 09:15:10 - INFO:  set_to:0.0005547627806663513
06-April-23 09:15:10 - INFO:  get_all:0.0007013995200395584
06-April-23 09:15:10 - INFO:  set_to:0.0005493471398949623
06-April-23 09:15:10 - INFO:  get_range:0.0028527062386274338
06-April-23 09:15:10 - INFO:  get_all:0.0006924588233232498
06-April-23 09:15:10 - INFO:  set_to:0.0006528822705149651
06-April-23 09:15:10 - INFO:  set_multiples:0.0033931154757738113
06-April-23 09:15:10 - INFO:  set_multiples:0.0033502383157610893
06-April-23 09:15:10 - INFO:  set_to:0.0005467049777507782
06-April-23 09:15:10 - INFO:  get_all:0.0006399378180503845
06-April-23 09:15:10 - INFO:  get_all:0.003301451914012432
06-April-23 09:15:10 - INFO:  get_all:0.0006928527727723122
06-April-23 09:15:10 - INFO:  set_multiples:0.003422011621296406
06-April-23 09:15:10 - INFO:  set_multiples:0.003408343531191349
06-April-23 09:15:10 - INFO:  set_to:0.0005406271666288376
06-April-23 09:15:10 - INFO:  set_to:0.0005636373534798622
06-April-23 09:15:10 - INFO:  del_keys:0.0007387856021523476
06-April-23 09:15:10 - INFO:  get_all:0.000706896185874939
06-April-23 09:15:10 - INFO:  get_range:0.0028307614848017693
06-April-23 09:15:10 - INFO:  set_multiples:0.0033743707463145256
06-April-23 09:15:10 - INFO:  get_range:0.0005670208483934402
06-April-23 09:15:10 - INFO:  set_to:0.0006576254963874817
06-April-23 09:15:10 - INFO:  get_range:0.0065207406878471375
06-April-23 09:15:10 - INFO:  get_all:0.003293028101325035
