07-April-23 07:21:27 - INFO:  ---------------------------------------------------------------------------------------------------
07-April-23 07:21:50 - INFO:  get_all:0.020803424529731274
07-April-23 07:21:50 - INFO:  get_range:0.0023572100326418877
07-April-23 07:21:50 - INFO:  get_all:0.01610839832574129
07-April-23 07:21:50 - INFO:  get_all:0.01685245241969824
07-April-23 07:21:51 - INFO:  set_multiples:0.024445154704153538
07-April-23 07:21:51 - INFO:  set_to:0.0006188713014125824
07-April-23 07:21:51 - INFO:  get_range:0.002822473645210266
07-April-23 07:21:51 - INFO:  get_all:0.0006477711722254753
07-April-23 07:21:51 - INFO:  set_multiples:0.028738771565258503
07-April-23 07:21:51 - INFO:  get_all:0.0005714818835258484
07-April-23 07:21:51 - INFO:  set_to:0.0005567865446209908
07-April-23 07:21:51 - INFO:  get_all:0.024229925125837326
07-April-23 07:21:51 - INFO:  set_multiples:0.029052278958261013
07-April-23 07:21:51 - INFO:  del_keys:0.0008914303034543991
07-April-23 07:21:51 - INFO:  get_all:0.022097952663898468
07-April-23 07:21:51 - INFO:  set_to:0.0005565928295254707
07-April-23 07:21:51 - INFO:  get_range:0.0031271036714315414
07-April-23 07:21:51 - INFO:  set_multiples:0.03064218908548355
07-April-23 07:21:51 - INFO:  get_all:0.022374817170202732
07-April-23 07:21:51 - INFO:  set_to:0.0005910396575927734
07-April-23 07:21:51 - INFO:  get_range:0.003176199272274971
07-April-23 07:21:51 - INFO:  set_multiples:0.030479677952826023
07-April-23 07:21:51 - INFO:  get_all:0.02138605248183012
07-April-23 07:21:51 - INFO:  set_multiples:0.0274757519364357
07-April-23 07:21:51 - INFO:  get_all:0.0005741165950894356
07-April-23 07:21:51 - INFO:  del_keys:0.0008927145972847939
07-April-23 07:21:51 - INFO:  set_multiples:0.029433212243020535
07-April-23 07:21:51 - INFO:  get_all:0.0007075583562254906
07-April-23 07:21:51 - INFO:  del_keys:0.0008852919563651085
07-April-23 07:21:51 - INFO:  get_all:0.0224674167111516
07-April-23 07:21:51 - INFO:  set_to:0.000585922971367836
07-April-23 07:21:51 - INFO:  set_to:0.0005890540778636932
07-April-23 07:21:51 - INFO:  get_all:0.0006293188780546188
07-April-23 07:21:51 - INFO:  get_all:0.024342678487300873
07-April-23 07:21:51 - INFO:  del_keys:0.0009280918166041374
07-April-23 07:21:51 - INFO:  set_to:0.0005807075649499893
07-April-23 07:21:51 - INFO:  get_range:0.003800160251557827
07-April-23 07:21:51 - INFO:  get_all:0.026204021647572517
07-April-23 07:21:51 - INFO:  set_to:0.000597827136516571
07-April-23 07:21:51 - INFO:  set_multiples:0.03261179942637682
07-April-23 07:21:51 - INFO:  get_range:0.0032143713906407356
07-April-23 07:21:51 - INFO:  set_multiples:0.029656236059963703
07-April-23 07:21:51 - INFO:  get_all:0.022212191484868526
07-April-23 07:21:51 - INFO:  get_all:0.0007061604410409927
07-April-23 07:21:51 - INFO:  get_all:0.00060291588306427
07-April-23 07:21:51 - INFO:  get_all:0.0006499923765659332
07-April-23 07:21:51 - INFO:  set_multiples:0.03344229329377413
07-April-23 07:21:51 - INFO:  get_all:0.025052516721189022
07-April-23 07:21:51 - INFO:  set_to:0.0006850752979516983
07-April-23 07:21:51 - INFO:  get_all:0.0006439937278628349
07-April-23 07:21:51 - INFO:  get_all:0.036941359750926495
07-April-23 07:21:51 - INFO:  set_to:0.0005437247455120087
07-April-23 07:21:51 - INFO:  get_range:0.0034264856949448586
07-April-23 07:21:51 - INFO:  get_range:0.003802342340350151
