06-April-23 12:35:48 - INFO:  ---------------------------------------------------------------------------------------------------
06-April-23 12:36:29 - INFO:  get_all:0.0029725199565291405
06-April-23 12:36:29 - INFO:  del_keys:0.0005621565505862236
06-April-23 12:36:29 - INFO:  get_range:0.004209359176456928
06-April-23 12:36:29 - INFO:  get_all:0.0005272440612316132
06-April-23 12:36:29 - INFO:  get_all:0.0030297935009002686
06-April-23 12:36:29 - INFO:  del_keys:0.0005788849666714668
06-April-23 12:36:29 - INFO:  set_to:0.000630832277238369
06-April-23 12:36:29 - INFO:  del_keys:0.0005374429747462273
06-April-23 12:36:29 - INFO:  get_range:0.031562356278300285
06-April-23 12:36:29 - INFO:  get_range:0.005286486819386482
06-April-23 12:36:29 - INFO:  del_keys:0.0006406530737876892
06-April-23 12:36:29 - INFO:  set_multiples:0.0030212439596652985
06-April-23 12:36:29 - INFO:  get_all:0.0027445415034890175
06-April-23 12:36:29 - INFO:  del_keys:0.0006660008803009987
06-April-23 12:36:29 - INFO:  get_range:0.033431985415518284
06-April-23 12:36:29 - INFO:  del_keys:0.0006614299491047859
06-April-23 12:36:29 - INFO:  get_all:0.0028985952958464622
06-April-23 12:36:29 - INFO:  get_all:0.002872268669307232
06-April-23 12:36:29 - INFO:  set_multiples:0.0031170155853033066
06-April-23 12:36:29 - INFO:  get_all:0.0007165558636188507
06-April-23 12:36:29 - INFO:  set_multiples:0.0030128881335258484
06-April-23 12:36:29 - INFO:  get_range:0.0006778324022889137
06-April-23 12:36:29 - INFO:  set_to:0.000616041012108326
06-April-23 12:36:29 - INFO:  get_range:0.03773368988186121
06-April-23 12:36:29 - INFO:  set_to:0.0006114766001701355
06-April-23 12:36:29 - INFO:  set_multiples:0.003064866177737713
06-April-23 12:36:29 - INFO:  get_all:0.0029037389904260635
06-April-23 12:36:29 - INFO:  set_to:0.0006129872053861618
06-April-23 12:36:29 - INFO:  set_multiples:0.0031033558771014214
06-April-23 12:36:29 - INFO:  del_keys:0.0008012065663933754
06-April-23 12:36:29 - INFO:  set_to:0.0006147613748908043
06-April-23 12:36:29 - INFO:  set_to:0.0006107352674007416
06-April-23 12:36:29 - INFO:  set_to:0.0006562294438481331
06-April-23 12:36:29 - INFO:  get_all:0.0007166154682636261
06-April-23 12:36:29 - INFO:  set_multiples:0.002974146045744419
06-April-23 12:36:29 - INFO:  set_to:0.0005867164582014084
06-April-23 12:36:29 - INFO:  get_all:0.002947424538433552
06-April-23 12:36:29 - INFO:  set_to:0.0006222929805517197
06-April-23 12:36:29 - INFO:  del_keys:0.0008211303502321243
06-April-23 12:36:29 - INFO:  get_all:0.0007098615169525146
06-April-23 12:36:29 - INFO:  del_keys:0.0006938669830560684
06-April-23 12:36:29 - INFO:  get_range:0.006592193618416786
06-April-23 12:36:29 - INFO:  get_range:0.03785491455346346
06-April-23 12:36:29 - INFO:  get_all:0.0029226047918200493
06-April-23 12:36:29 - INFO:  get_all:0.0008091423660516739
06-April-23 12:36:29 - INFO:  get_range:0.002769108861684799
06-April-23 12:36:29 - INFO:  get_range:0.03706774301826954
06-April-23 12:36:29 - INFO:  get_all:0.0007024304941296577
06-April-23 12:36:29 - INFO:  get_all:0.000670366920530796
06-April-23 12:36:29 - INFO:  del_keys:0.0007002130150794983
06-April-23 12:36:29 - INFO:  get_range:0.006438209675252438
