06-April-23 12:10:19 - INFO:  ---------------------------------------------------------------------------------------------------
06-April-23 12:10:48 - INFO:  del_keys:0.007304200902581215
06-April-23 12:10:48 - INFO:  set_multiples:0.004022018983960152
06-April-23 12:10:48 - INFO:  del_keys:0.0028420062735676765
06-April-23 12:10:48 - INFO:  get_all:0.0030210819095373154
06-April-23 12:10:48 - INFO:  get_range:0.017702944576740265
06-April-23 12:10:48 - INFO:  set_to:0.000545240007340908
06-April-23 12:10:48 - INFO:  get_all:0.0006469106301665306
06-April-23 12:10:48 - INFO:  del_keys:0.0028657931834459305
06-April-23 12:10:48 - INFO:  get_range:0.0012744246050715446
06-April-23 12:10:48 - INFO:  set_multiples:0.004380255006253719
06-April-23 12:10:48 - INFO:  set_multiples:0.004279950633645058
06-April-23 12:10:48 - INFO:  set_to:0.0004886658862233162
06-April-23 12:10:48 - INFO:  get_range:0.0037324130535125732
06-April-23 12:10:48 - INFO:  get_all:0.0037559587508440018
06-April-23 12:10:48 - INFO:  del_keys:0.0033859191462397575
06-April-23 12:10:48 - INFO:  get_all:0.0006484277546405792
06-April-23 12:10:48 - INFO:  set_to:0.0005245273932814598
06-April-23 12:10:48 - INFO:  set_multiples:0.006138610653579235
06-April-23 12:10:48 - INFO:  set_to:0.0005537169054150581
06-April-23 12:10:48 - INFO:  del_keys:0.004468066617846489
06-April-23 12:10:48 - INFO:  get_all:0.0006276369094848633
06-April-23 12:10:48 - INFO:  get_all:0.0006679501384496689
06-April-23 12:10:48 - INFO:  get_all:0.0006469395011663437
06-April-23 12:10:48 - INFO:  get_all:0.0042987484484910965
06-April-23 12:10:48 - INFO:  set_to:0.0005452409386634827
06-April-23 12:10:48 - INFO:  get_range:0.004355144686996937
06-April-23 12:10:48 - INFO:  get_all:0.00429990328848362
06-April-23 12:10:48 - INFO:  set_to:0.0005525471642613411
06-April-23 12:10:48 - INFO:  get_range:0.0006417315453290939
06-April-23 12:10:48 - INFO:  set_to:0.0005331709980964661
06-April-23 12:10:48 - INFO:  get_all:0.0006412323564291
06-April-23 12:10:48 - INFO:  set_multiples:0.006164491176605225
06-April-23 12:10:48 - INFO:  get_range:0.0014501819387078285
06-April-23 12:10:48 - INFO:  get_range:0.004377639852464199
06-April-23 12:10:48 - INFO:  set_to:0.00047819316387176514
06-April-23 12:10:48 - INFO:  set_multiples:0.006001343950629234
06-April-23 12:10:48 - INFO:  get_range:0.0014026686549186707
06-April-23 12:10:48 - INFO:  del_keys:0.004490641877055168
06-April-23 12:10:48 - INFO:  set_to:0.0006409529596567154
06-April-23 12:10:48 - INFO:  set_multiples:0.005913006141781807
06-April-23 12:10:48 - INFO:  get_range:0.0014355704188346863
06-April-23 12:10:48 - INFO:  del_keys:0.004448217339813709
06-April-23 12:10:48 - INFO:  get_all:0.004338079132139683
06-April-23 12:10:48 - INFO:  del_keys:0.004412569105625153
06-April-23 12:10:48 - INFO:  get_all:0.0006403755396604538
06-April-23 12:10:48 - INFO:  del_keys:0.004393789917230606
06-April-23 12:10:48 - INFO:  del_keys:0.004335708916187286
06-April-23 12:10:48 - INFO:  get_all:0.0006362143903970718
06-April-23 12:10:48 - INFO:  del_keys:0.00429935660213232
06-April-23 12:10:48 - INFO:  get_range:0.03253742400556803
06-April-23 12:10:48 - INFO:  del_keys:0.004328505136072636
06-April-23 12:10:48 - INFO:  del_keys:0.004334903322160244
06-April-23 12:10:48 - INFO:  get_range:0.0308657418936491
06-April-23 12:10:48 - INFO:  get_all:0.0007110629230737686
06-April-23 12:10:48 - INFO:  set_multiples:0.006060699932277203
06-April-23 12:10:48 - INFO:  set_multiples:0.00567078310996294
06-April-23 12:10:48 - INFO:  get_range:0.03150389716029167
06-April-23 12:10:48 - INFO:  set_multiples:0.005585088394582272
06-April-23 12:10:48 - INFO:  set_multiples:0.0054708560928702354
06-April-23 12:10:48 - INFO:  get_all:0.0006287135183811188
06-April-23 12:10:48 - INFO:  get_all:0.0006416486576199532
06-April-23 12:10:48 - INFO:  set_to:0.0005604969337582588
06-April-23 12:10:48 - INFO:  del_keys:0.004445498809218407
06-April-23 12:10:48 - INFO:  del_keys:0.004365366883575916
06-April-23 12:10:48 - INFO:  get_range:0.004296925850212574
06-April-23 12:10:48 - INFO:  del_keys:0.004388787783682346
06-April-23 12:10:48 - INFO:  del_keys:0.004407763481140137
06-April-23 12:10:48 - INFO:  set_multiples:0.005986618809401989
06-April-23 12:10:48 - INFO:  get_all:0.0007367236539721489
06-April-23 12:10:48 - INFO:  get_all:0.004790919832885265
06-April-23 12:10:48 - INFO:  get_range:0.0043810950592160225
06-April-23 12:10:48 - INFO:  get_range:0.03267193865031004
06-April-23 12:10:48 - INFO:  get_all:0.004996529780328274
06-April-23 12:10:48 - INFO:  del_keys:0.00438116118311882
06-April-23 12:10:48 - INFO:  get_all:0.004250958561897278
06-April-23 12:10:48 - INFO:  get_range:0.0006350269541144371
06-April-23 12:10:48 - INFO:  del_keys:0.004355804994702339
06-April-23 12:10:48 - INFO:  get_all:0.004300078377127647
06-April-23 12:10:48 - INFO:  get_all:0.004322619177401066
06-April-23 12:10:48 - INFO:  get_all:0.0006476007401943207
06-April-23 12:10:48 - INFO:  get_all:0.0006596874445676804
06-April-23 12:10:48 - INFO:  get_range:0.03247715253382921
06-April-23 12:10:48 - INFO:  del_keys:0.004395960830152035
06-April-23 12:10:48 - INFO:  del_keys:0.004340529441833496
06-April-23 12:10:48 - INFO:  get_all:0.0006477804854512215
06-April-23 12:10:48 - INFO:  get_range:0.0014298055320978165
06-April-23 12:10:48 - INFO:  del_keys:0.004357188940048218
06-April-23 12:10:48 - INFO:  get_range:0.000636550597846508
06-April-23 12:10:48 - INFO:  get_all:0.0006348490715026855
06-April-23 12:10:48 - INFO:  get_all:0.0006488123908638954
06-April-23 12:10:48 - INFO:  get_all:0.004331337288022041
06-April-23 12:10:48 - INFO:  set_to:0.0005354369059205055
06-April-23 12:10:48 - INFO:  set_multiples:0.006157096475362778
06-April-23 12:10:48 - INFO:  set_to:0.000529097393155098
06-April-23 12:10:48 - INFO:  get_all:0.004762440919876099
06-April-23 12:10:48 - INFO:  set_to:0.0006190622225403786
06-April-23 12:10:48 - INFO:  get_all:0.0006465865299105644
06-April-23 12:10:48 - INFO:  get_all:0.0007562600076198578
06-April-23 12:10:48 - INFO:  get_all:0.0005619218572974205
06-April-23 12:10:49 - INFO:  del_keys:0.004423119127750397
06-April-23 12:10:49 - INFO:  del_keys:0.004367297515273094
06-April-23 12:10:49 - INFO:  set_multiples:0.0059221722185611725
06-April-23 12:10:49 - INFO:  set_multiples:0.005620583891868591
06-April-23 12:10:49 - INFO:  del_keys:0.004414099268615246
06-April-23 12:10:49 - INFO:  del_keys:0.004336436279118061
06-April-23 12:10:49 - INFO:  get_range:0.004350559785962105
06-April-23 12:10:49 - INFO:  get_all:0.004322930239140987
06-April-23 12:10:49 - INFO:  get_all:0.0006391908973455429
06-April-23 12:10:49 - INFO:  set_multiples:0.0061782849952578545
06-April-23 12:10:49 - INFO:  set_multiples:0.005616707727313042
06-April-23 12:10:49 - INFO:  get_all:0.00473365094512701
06-April-23 12:10:49 - INFO:  get_all:0.00474520493298769
06-April-23 12:10:49 - INFO:  del_keys:0.00439725536853075
06-April-23 12:10:49 - INFO:  get_range:0.0014488883316516876
06-April-23 12:10:49 - INFO:  set_to:0.0005493210628628731
06-April-23 12:10:49 - INFO:  set_to:0.000644356943666935
06-April-23 12:10:49 - INFO:  get_all:0.004293590784072876
06-April-23 12:10:49 - INFO:  get_range:0.004218140617012978
06-April-23 12:10:49 - INFO:  get_range:0.004296734929084778
06-April-23 12:10:49 - INFO:  del_keys:0.004326827824115753
06-April-23 12:10:49 - INFO:  get_all:0.00424934271723032
06-April-23 12:10:49 - INFO:  del_keys:0.004357684403657913
06-April-23 12:10:49 - INFO:  set_to:0.000539654865860939
06-April-23 12:10:49 - INFO:  get_all:0.000632372684776783
06-April-23 12:10:49 - INFO:  get_all:0.0006411708891391754
06-April-23 12:10:49 - INFO:  set_to:0.0005481075495481491
06-April-23 12:10:49 - INFO:  get_range:0.001454407349228859
06-April-23 12:10:49 - INFO:  del_keys:0.004381118342280388
06-April-23 12:10:49 - INFO:  set_to:0.0006383629515767097
06-April-23 12:10:49 - INFO:  get_all:0.0043399641290307045
06-April-23 12:10:49 - INFO:  get_all:0.004249868914484978
06-April-23 12:10:49 - INFO:  set_multiples:0.0060243913903832436
