08-April-23 17:38:19 - INFO:  ---------------------------------------------------------------------------------------------------
08-April-23 17:38:42 - INFO:  set_to:0.0031385356560349464
08-April-23 17:38:42 - INFO:  get_all:0.0013471869751811028
08-April-23 17:38:42 - INFO:  get_all:0.0036860592663288116
08-April-23 17:38:42 - INFO:  del_keys:0.003135419450700283
08-April-23 17:38:42 - INFO:  del_keys:0.005450892262160778
08-April-23 17:38:42 - INFO:  del_keys:0.037405953742563725
08-April-23 17:38:42 - INFO:  set_multiples:0.03931734059005976
08-April-23 17:38:42 - INFO:  get_range:0.026709044352173805
08-April-23 17:38:42 - INFO:  get_all:0.04871740937232971
08-April-23 17:38:42 - INFO:  set_multiples:0.07134991139173508
08-April-23 17:38:42 - INFO:  set_to:0.0006471872329711914
08-April-23 17:38:42 - INFO:  set_multiples:0.06957546342164278
08-April-23 17:38:42 - INFO:  set_to:0.0022592414170503616
08-April-23 17:38:42 - INFO:  del_keys:0.002184034325182438
08-April-23 17:38:42 - INFO:  get_range:0.05870266631245613
08-April-23 17:38:43 - INFO:  del_keys:0.06886471807956696
08-April-23 17:38:43 - INFO:  get_all:0.0019869282841682434
08-April-23 17:38:43 - INFO:  get_all:0.10944805108010769
08-April-23 17:38:43 - INFO:  set_multiples:0.14885259605944157
08-April-23 17:38:43 - INFO:  get_all:0.07106956746429205
08-April-23 17:38:43 - INFO:  get_all:0.09546281583607197
08-April-23 17:38:43 - INFO:  del_keys:0.02512730285525322
08-April-23 17:38:43 - INFO:  del_keys:0.1327498583123088
08-April-23 17:38:43 - INFO:  get_all:0.05415572226047516
08-April-23 17:38:43 - INFO:  set_multiples:0.10734274797141552
08-April-23 17:38:43 - INFO:  get_all:0.01872094813734293
08-April-23 17:38:43 - INFO:  set_to:0.009383642114698887
08-April-23 17:38:43 - INFO:  get_all:0.09878697525709867
08-April-23 17:38:43 - INFO:  get_range:0.1472765328362584
08-April-23 17:38:43 - INFO:  del_keys:0.0019453465938568115
08-April-23 17:38:43 - INFO:  del_keys:0.02981537953019142
08-April-23 17:38:43 - INFO:  set_multiples:0.1143905958160758
08-April-23 17:38:43 - INFO:  set_multiples:0.16676540207117796
08-April-23 17:38:43 - INFO:  set_to:0.0033795228227972984
08-April-23 17:38:43 - INFO:  set_multiples:0.06598376855254173
08-April-23 17:38:43 - INFO:  del_keys:0.0021137017756700516
08-April-23 17:38:43 - INFO:  get_all:0.0021409355103969574
08-April-23 17:38:43 - INFO:  get_range:0.022588536143302917
08-April-23 17:38:43 - INFO:  get_all:0.00303739495575428
08-April-23 17:38:43 - INFO:  get_all:0.008611022494733334
08-April-23 17:38:43 - INFO:  get_range:0.04576798528432846
08-April-23 17:38:43 - INFO:  del_keys:0.04611014109104872
08-April-23 17:38:43 - INFO:  get_all:0.05090725142508745
08-April-23 17:38:43 - INFO:  get_range:0.05148484092205763
08-April-23 17:38:43 - INFO:  del_keys:0.003308149054646492
08-April-23 17:38:43 - INFO:  del_keys:0.06991549581289291
08-April-23 17:38:43 - INFO:  get_all:0.012954020872712135
08-April-23 17:38:43 - INFO:  set_to:0.0274703586474061
08-April-23 17:38:43 - INFO:  del_keys:0.03709457442164421
08-April-23 17:38:43 - INFO:  get_range:0.055910016410052776
08-April-23 17:38:43 - INFO:  set_multiples:0.11007445119321346
08-April-23 17:38:43 - INFO:  set_multiples:0.12202056962996721
08-April-23 17:38:43 - INFO:  get_range:0.035263778641819954
08-April-23 17:38:43 - INFO:  del_keys:0.08696558140218258
08-April-23 17:38:43 - INFO:  del_keys:0.028587657026946545
