08-April-23 17:07:31 - INFO:  ---------------------------------------------------------------------------------------------------
08-April-23 17:08:15 - INFO:  get_all:0.004480655305087566
08-April-23 17:08:15 - INFO:  set_to:0.004748287610709667
08-April-23 17:08:15 - INFO:  set_to:0.004525808617472649
08-April-23 17:08:15 - INFO:  get_range:0.004075000062584877
08-April-23 17:08:15 - INFO:  del_keys:0.0015349425375461578
08-April-23 17:08:15 - INFO:  get_all:0.004658429883420467
08-April-23 17:08:15 - INFO:  del_keys:0.02189826685935259
08-April-23 17:08:15 - INFO:  get_all:0.017995011992752552
08-April-23 17:08:15 - INFO:  set_to:0.0006354330107569695
08-April-23 17:08:15 - INFO:  set_to:0.0027559353038668633
08-April-23 17:08:15 - INFO:  get_all:0.0007855324074625969
08-April-23 17:08:15 - INFO:  get_all:0.0005608983337879181
08-April-23 17:08:15 - INFO:  set_to:0.0011075083166360855
08-April-23 17:08:15 - INFO:  set_to:0.0019448334351181984
08-April-23 17:08:15 - INFO:  del_keys:0.003330768086016178
08-April-23 17:08:15 - INFO:  get_all:0.013426940888166428
08-April-23 17:08:15 - INFO:  del_keys:0.005404218100011349
08-April-23 17:08:15 - INFO:  set_multiples:0.0365213667973876
08-April-23 17:08:15 - INFO:  del_keys:0.013969468884170055
08-April-23 17:08:15 - INFO:  del_keys:0.0010238345712423325
08-April-23 17:08:15 - INFO:  del_keys:0.0014056488871574402
08-April-23 17:08:15 - INFO:  get_all:0.006179001182317734
08-April-23 17:08:15 - INFO:  get_all:0.04691347572952509
08-April-23 17:08:15 - INFO:  set_to:0.003940285183489323
08-April-23 17:08:15 - INFO:  get_range:0.017224249430000782
08-April-23 17:08:15 - INFO:  del_keys:0.07210957165807486
08-April-23 17:08:15 - INFO:  del_keys:0.005535871721804142
08-April-23 17:08:15 - INFO:  set_multiples:0.08364307228475809
08-April-23 17:08:15 - INFO:  set_multiples:0.09883879497647285
08-April-23 17:08:15 - INFO:  get_all:0.01632722932845354
08-April-23 17:08:15 - INFO:  set_to:0.0147021459415555
08-April-23 17:08:15 - INFO:  set_to:0.0021063070744276047
08-April-23 17:08:15 - INFO:  get_all:0.10033466387540102
08-April-23 17:08:15 - INFO:  get_all:0.08574012573808432
08-April-23 17:08:15 - INFO:  get_range:0.0800967076793313
08-April-23 17:08:15 - INFO:  get_range:0.08913295529782772
08-April-23 17:08:15 - INFO:  set_multiples:0.15361151844263077
08-April-23 17:08:15 - INFO:  del_keys:0.009084089659154415
08-April-23 17:08:15 - INFO:  get_all:0.007382841780781746
08-April-23 17:08:15 - INFO:  del_keys:0.0013077352195978165
08-April-23 17:08:15 - INFO:  get_all:0.07682508695870638
08-April-23 17:08:15 - INFO:  del_keys:0.009930544532835484
08-April-23 17:08:15 - INFO:  del_keys:0.01157389022409916
08-April-23 17:08:15 - INFO:  get_range:0.010962720960378647
08-April-23 17:08:15 - INFO:  get_range:0.015219147317111492
08-April-23 17:08:15 - INFO:  get_range:0.01630967017263174
08-April-23 17:08:15 - INFO:  del_keys:0.0024877311661839485
08-April-23 17:08:15 - INFO:  get_range:0.028154759667813778
08-April-23 17:08:15 - INFO:  get_range:0.016928406432271004
08-April-23 17:08:15 - INFO:  del_keys:0.03535215277224779
08-April-23 17:08:15 - INFO:  set_multiples:0.10320211853832006
08-April-23 17:08:15 - INFO:  del_keys:0.0008296193554997444
08-April-23 17:08:15 - INFO:  set_multiples:0.08467212598770857
08-April-23 17:08:15 - INFO:  set_multiples:0.13516854401677847
08-April-23 17:08:15 - INFO:  get_all:0.0410768948495388
08-April-23 17:08:15 - INFO:  del_keys:0.014122183434665203
08-April-23 17:08:15 - INFO:  get_all:0.02120901457965374
08-April-23 17:08:15 - INFO:  del_keys:0.01728877518326044
08-April-23 17:08:15 - INFO:  get_all:0.04319672007113695
08-April-23 17:08:15 - INFO:  set_to:0.0007362030446529388
08-April-23 17:08:15 - INFO:  get_range:0.006755299866199493
08-April-23 17:08:15 - INFO:  get_all:0.0018500369042158127
08-April-23 17:08:15 - INFO:  get_all:0.0021001212298870087
08-April-23 17:08:15 - INFO:  get_all:0.003907178528606892
08-April-23 17:08:15 - INFO:  del_keys:0.004452524706721306
08-April-23 17:08:15 - INFO:  del_keys:0.005661523900926113
