16-April-23 13:07:50 - INFO:  ---------------------------------------------------------------------------------------------------
16-April-23 13:08:08 - INFO:  get_single:0.0026116501539945602
16-April-23 13:08:08 - INFO:  set_to:0.0004618186503648758
16-April-23 13:08:08 - INFO:  get_range:0.004642728716135025
16-April-23 13:08:08 - INFO:  set_to:0.00042464490979909897
16-April-23 13:08:08 - INFO:  get_single:0.0004069879651069641
16-April-23 13:08:08 - INFO:  get_multiple:0.020847545005381107
16-April-23 13:08:08 - INFO:  del_single:0.0005333106964826584
16-April-23 13:08:08 - INFO:  del_single:0.00046076811850070953
16-April-23 13:08:08 - INFO:  set_multiples:0.030302060768008232
16-April-23 13:08:08 - INFO:  get_range:0.0047841425985097885
16-April-23 13:08:08 - INFO:  del_multiple:0.004112097434699535
16-April-23 13:08:08 - INFO:  del_multiple:0.004437393508851528
16-April-23 13:08:08 - INFO:  set_to:0.0004982529208064079
16-April-23 13:08:08 - INFO:  set_multiples:0.0356685109436512
16-April-23 13:08:08 - INFO:  del_single:0.0004987809807062149
16-April-23 13:08:08 - INFO:  get_range:0.005183183588087559
16-April-23 13:08:08 - INFO:  get_single:0.0005477853119373322
16-April-23 13:08:08 - INFO:  get_multiple:0.031043600291013718
16-April-23 13:08:09 - INFO:  set_multiples:0.03582844790071249
16-April-23 13:08:09 - INFO:  set_multiples:0.033716809935867786
16-April-23 13:08:09 - INFO:  get_single:0.000530976802110672
16-April-23 13:08:09 - INFO:  set_to:0.0005558021366596222
16-April-23 13:08:09 - INFO:  get_range:0.004790465347468853
16-April-23 13:08:09 - INFO:  get_multiple:0.03190571442246437
16-April-23 13:08:09 - INFO:  set_to:0.0005403896793723106
16-April-23 13:08:09 - INFO:  set_multiples:0.043640851974487305
16-April-23 13:08:09 - INFO:  del_single:0.0005070073530077934
16-April-23 13:08:09 - INFO:  del_multiple:0.005078443326056004
16-April-23 13:08:09 - INFO:  get_range:0.005503823980689049
16-April-23 13:08:09 - INFO:  set_multiples:0.043022964149713516
16-April-23 13:08:09 - INFO:  set_multiples:0.03871809784322977
16-April-23 13:08:09 - INFO:  set_multiples:0.0351040493696928
16-April-23 13:08:09 - INFO:  del_multiple:0.004579504020512104
16-April-23 13:08:09 - INFO:  del_single:0.0005117617547512054
16-April-23 13:08:09 - INFO:  del_multiple:0.004710192792117596
16-April-23 13:08:09 - INFO:  set_multiples:0.03822052851319313
16-April-23 13:08:09 - INFO:  get_single:0.0005656657740473747
16-April-23 13:08:09 - INFO:  get_single:0.0005736798048019409
16-April-23 13:08:09 - INFO:  get_single:0.0005464740097522736
16-April-23 13:08:09 - INFO:  set_to:0.0006051966920495033
16-April-23 13:08:09 - INFO:  get_multiple:0.03299018181860447
16-April-23 13:08:09 - INFO:  set_to:0.0005185343325138092
16-April-23 13:08:09 - INFO:  get_single:0.0005738213658332825
16-April-23 13:08:09 - INFO:  del_multiple:0.005112938582897186
16-April-23 13:08:09 - INFO:  get_single:0.0005826381966471672
16-April-23 13:08:09 - INFO:  get_single:0.0005761599168181419
16-April-23 13:08:09 - INFO:  get_multiple:0.033510852605104446
16-April-23 13:08:09 - INFO:  del_single:0.0005130162462592125
16-April-23 13:08:09 - INFO:  del_single:0.0005176644772291183
16-April-23 13:08:09 - INFO:  set_multiples:0.043587575666606426
16-April-23 13:08:09 - INFO:  set_to:0.0005899304524064064
16-April-23 13:08:09 - INFO:  get_multiple:0.03386913798749447
16-April-23 13:08:09 - INFO:  get_multiple:0.03336791228502989
16-April-23 13:08:09 - INFO:  get_multiple:0.03482307028025389
16-April-23 13:08:09 - INFO:  get_single:0.0005829595029354095
16-April-23 13:08:09 - INFO:  set_to:0.0005630319938063622
16-April-23 13:08:09 - INFO:  get_single:0.000577026978135109
16-April-23 13:08:09 - INFO:  set_to:0.0004869876429438591
16-April-23 13:08:09 - INFO:  del_multiple:0.00510359276086092
16-April-23 13:08:09 - INFO:  get_single:0.0005400385707616806
16-April-23 13:08:09 - INFO:  get_multiple:0.03399123251438141
16-April-23 13:08:09 - INFO:  set_to:0.0006049564108252525
16-April-23 13:08:09 - INFO:  del_multiple:0.005108087323606014
16-April-23 13:08:10 - INFO:  get_multiple:0.03425987716764212
16-April-23 13:08:10 - INFO:  set_multiples:0.04122540540993214
16-April-23 13:08:10 - INFO:  set_multiples:0.0370439775288105
16-April-23 13:08:10 - INFO:  del_multiple:0.004728257656097412
16-April-23 13:08:10 - INFO:  get_single:0.0005224011838436127
16-April-23 13:08:10 - INFO:  del_single:0.000643986277282238
16-April-23 13:08:10 - INFO:  del_single:0.0005747713148593903
16-April-23 13:08:10 - INFO:  get_multiple:0.03244004677981138
16-April-23 13:08:10 - INFO:  del_multiple:0.0049207452684640884
16-April-23 13:08:10 - INFO:  set_to:0.0005756830796599388
16-April-23 13:08:10 - INFO:  del_multiple:0.00482881348580122
16-April-23 13:08:10 - INFO:  set_multiples:0.03942799102514982
16-April-23 13:08:10 - INFO:  del_multiple:0.004593199118971825
16-April-23 13:08:10 - INFO:  del_multiple:0.004900866188108921
16-April-23 13:08:10 - INFO:  set_multiples:0.03876146860420704
16-April-23 13:08:10 - INFO:  get_multiple:0.02815372310578823
16-April-23 13:08:10 - INFO:  get_multiple:0.02757475059479475
16-April-23 13:08:10 - INFO:  set_multiples:0.034680552780628204
16-April-23 13:08:10 - INFO:  get_single:0.0004893215373158455
16-April-23 13:08:10 - INFO:  set_multiples:0.033838254399597645
16-April-23 13:08:10 - INFO:  del_single:0.0005581453442573547
16-April-23 13:08:10 - INFO:  set_multiples:0.03325101267546415
16-April-23 13:08:10 - INFO:  del_single:0.0005140602588653564
16-April-23 13:08:10 - INFO:  get_multiple:0.0262583177536726
16-April-23 13:08:10 - INFO:  set_to:0.0005432041361927986
16-April-23 13:08:10 - INFO:  get_single:0.0004989923909306526
16-April-23 13:08:10 - INFO:  set_multiples:0.0347417164593935
16-April-23 13:08:10 - INFO:  set_to:0.0005447575822472572
16-April-23 13:08:10 - INFO:  set_multiples:0.034071287140250206
16-April-23 13:08:10 - INFO:  del_single:0.00047900713980197906
16-April-23 13:08:10 - INFO:  del_single:0.0005940292030572891
16-April-23 13:08:10 - INFO:  get_multiple:0.029436643235385418
16-April-23 13:08:10 - INFO:  set_multiples:0.03567973431199789
16-April-23 13:08:10 - INFO:  set_multiples:0.03442937880754471
16-April-23 13:08:10 - INFO:  get_single:0.00047817546874284744
16-April-23 13:08:10 - INFO:  get_range:0.005002179183065891
16-April-23 13:08:10 - INFO:  del_multiple:0.0047289300709962845
16-April-23 13:08:10 - INFO:  get_range:0.005538852885365486
16-April-23 13:08:10 - INFO:  set_multiples:0.04159337189048529
16-April-23 13:08:10 - INFO:  get_single:0.0005063386633992195
16-April-23 13:08:10 - INFO:  get_single:0.000553804449737072
16-April-23 13:08:10 - INFO:  get_single:0.0005261311307549477
16-April-23 13:08:10 - INFO:  get_single:0.0005380688235163689
16-April-23 13:08:10 - INFO:  del_single:0.000520206056535244
16-April-23 13:08:10 - INFO:  get_single:0.0006590597331523895
16-April-23 13:08:11 - INFO:  set_multiples:0.04333183728158474
16-April-23 13:08:11 - INFO:  del_single:0.0005379645153880119
