09-April-23 21:05:59 - INFO:  del_multiple:0.0051032910123467445
09-April-23 21:06:00 - INFO:  del_multiple:0.006167227402329445
09-April-23 21:06:00 - INFO:  del_multiple:0.0061234040185809135
09-April-23 21:06:00 - INFO:  del_multiple:0.006090105511248112
09-April-23 21:06:01 - INFO:  del_multiple:0.0057996176183223724
09-April-23 21:06:01 - INFO:  del_multiple:0.00603706669062376
09-April-23 21:06:01 - INFO:  del_multiple:0.0061661843210458755
09-April-23 21:06:01 - INFO:  del_multiple:0.006033529527485371
09-April-23 21:06:02 - INFO:  del_multiple:0.006023861467838287
09-April-23 21:06:02 - INFO:  del_multiple:0.006148478016257286
09-April-23 21:06:02 - INFO:  del_multiple:0.006078195758163929
09-April-23 21:06:02 - INFO:  del_multiple:0.0055128438398242
09-April-23 21:06:02 - INFO:  del_multiple:0.005873285233974457
09-April-23 21:06:02 - INFO:  del_multiple:0.005923197604715824
09-April-23 21:06:02 - INFO:  del_multiple:0.0060859741643071175
09-April-23 21:06:02 - INFO:  del_multiple:0.006027396768331528
09-April-23 21:06:03 - INFO:  del_multiple:0.005715643055737019
09-April-23 21:06:03 - INFO:  del_multiple:0.006064319983124733
09-April-23 21:06:03 - INFO:  del_multiple:0.006089438684284687
09-April-23 21:06:03 - INFO:  del_multiple:0.00609926413744688
09-April-23 21:06:03 - INFO:  del_multiple:0.00613083690404892
09-April-23 21:06:04 - INFO:  del_multiple:0.005877288058400154
09-April-23 21:06:04 - INFO:  del_multiple:0.006136471405625343
09-April-23 21:06:04 - INFO:  del_multiple:0.00618493277579546
09-April-23 21:06:04 - INFO:  del_multiple:0.006153576076030731
09-April-23 21:06:04 - INFO:  del_multiple:0.00611005537211895
09-April-23 21:06:04 - INFO:  del_multiple:0.006144112907350063
09-April-23 21:06:04 - INFO:  del_multiple:0.0061526671051979065
09-April-23 21:06:04 - INFO:  del_multiple:0.0061026038601994514
09-April-23 21:06:04 - INFO:  del_multiple:0.005953660234808922
09-April-23 21:06:04 - INFO:  del_multiple:0.006083352491259575
09-April-23 21:06:04 - INFO:  del_multiple:0.0058355191722512245
09-April-23 21:06:04 - INFO:  del_multiple:0.006100901402533054
09-April-23 21:06:05 - INFO:  del_multiple:0.006140886805951595
09-April-23 21:06:05 - INFO:  del_multiple:0.006088996306061745
09-April-23 21:06:05 - INFO:  del_multiple:0.005947409197688103
09-April-23 21:06:05 - INFO:  del_multiple:0.006083042360842228
09-April-23 21:06:05 - INFO:  del_multiple:0.006103437393903732
09-April-23 21:06:06 - INFO:  del_multiple:0.006030372343957424
09-April-23 21:06:06 - INFO:  del_multiple:0.005998522043228149
09-April-23 21:06:06 - INFO:  del_multiple:0.0059196241199970245
09-April-23 21:06:06 - INFO:  del_multiple:0.006072896532714367
09-April-23 21:06:06 - INFO:  del_multiple:0.006187457591295242
09-April-23 21:06:06 - INFO:  del_multiple:0.006089824251830578
09-April-23 21:06:07 - INFO:  del_multiple:0.00606950931251049
09-April-23 21:06:07 - INFO:  del_multiple:0.005984258837997913
09-April-23 21:06:07 - INFO:  del_multiple:0.006013580597937107
09-April-23 21:06:07 - INFO:  del_multiple:0.0060383910313248634
09-April-23 21:06:07 - INFO:  del_multiple:0.006006056442856789
09-April-23 21:06:07 - INFO:  del_multiple:0.006064604967832565
09-April-23 21:06:07 - INFO:  del_multiple:0.006013866513967514
09-April-23 21:06:07 - INFO:  del_multiple:0.005912600085139275
09-April-23 21:06:08 - INFO:  del_multiple:0.006151500158011913
09-April-23 21:06:08 - INFO:  del_multiple:0.00587970856577158
09-April-23 21:06:08 - INFO:  del_multiple:0.006018451415002346
09-April-23 21:06:08 - INFO:  del_multiple:0.006018298678100109
09-April-23 21:06:08 - INFO:  del_multiple:0.005558397620916367
09-April-23 21:06:09 - INFO:  del_multiple:0.005924716591835022
09-April-23 21:06:09 - INFO:  del_multiple:0.005902165547013283
09-April-23 21:06:09 - INFO:  del_multiple:0.0059140753000974655
09-April-23 21:06:09 - INFO:  del_multiple:0.0060779256746172905
09-April-23 21:06:09 - INFO:  del_multiple:0.0059914300218224525
09-April-23 21:06:09 - INFO:  del_multiple:0.006067235022783279
09-April-23 21:06:09 - INFO:  del_multiple:0.005516180768609047
09-April-23 21:06:10 - INFO:  del_multiple:0.0060148462653160095
09-April-23 21:06:10 - INFO:  del_multiple:0.006074056029319763
09-April-23 21:06:10 - INFO:  del_multiple:0.006056816317141056
09-April-23 21:06:10 - INFO:  del_multiple:0.005967380478978157
09-April-23 21:06:10 - INFO:  del_multiple:0.006108525209128857
09-April-23 21:06:10 - INFO:  del_multiple:0.006077204830944538
09-April-23 21:06:10 - INFO:  del_multiple:0.006006106734275818
09-April-23 21:06:10 - INFO:  del_multiple:0.006010278128087521
09-April-23 21:06:10 - INFO:  del_multiple:0.005989121273159981
09-April-23 21:06:10 - INFO:  del_multiple:0.0058278776705265045
09-April-23 21:06:11 - INFO:  del_multiple:0.006006400100886822
09-April-23 21:06:11 - INFO:  del_multiple:0.005951832979917526
09-April-23 21:06:11 - INFO:  del_multiple:0.006059030070900917
09-April-23 21:06:11 - INFO:  del_multiple:0.0060205645859241486
09-April-23 21:06:11 - INFO:  del_multiple:0.006006547249853611
09-April-23 21:06:11 - INFO:  del_multiple:0.0058914665132761
09-April-23 21:06:12 - INFO:  del_multiple:0.006036039441823959
09-April-23 21:06:12 - INFO:  del_multiple:0.006078883074223995
09-April-23 21:06:12 - INFO:  del_multiple:0.006042975001037121
09-April-23 21:06:12 - INFO:  del_multiple:0.00595339760184288
09-April-23 21:06:12 - INFO:  del_multiple:0.005978219211101532
09-April-23 21:06:12 - INFO:  del_multiple:0.006016045808792114
09-April-23 21:06:12 - INFO:  del_multiple:0.005996693857014179
09-April-23 21:06:13 - INFO:  del_multiple:0.006046160124242306
09-April-23 21:06:13 - INFO:  del_multiple:0.006039300002157688
09-April-23 21:06:13 - INFO:  del_multiple:0.005952685140073299
09-April-23 21:06:13 - INFO:  del_multiple:0.00607236847281456
09-April-23 21:06:13 - INFO:  del_multiple:0.005963754840195179
09-April-23 21:06:13 - INFO:  del_multiple:0.006051836535334587
09-April-23 21:06:13 - INFO:  del_multiple:0.006060025654733181
09-April-23 21:06:13 - INFO:  del_multiple:0.00606404896825552
09-April-23 21:06:13 - INFO:  del_multiple:0.0059850988909602165
09-April-23 21:06:13 - INFO:  del_multiple:0.0060790181159973145
09-April-23 21:06:13 - INFO:  del_multiple:0.006000339984893799
09-April-23 21:06:13 - INFO:  del_multiple:0.006065301597118378
09-April-23 21:06:14 - INFO:  del_multiple:0.006037593819200993
09-April-23 21:06:14 - INFO:  del_multiple:0.006080552004277706
09-April-23 21:06:14 - INFO:  del_multiple:0.005702067166566849
09-April-23 21:06:14 - INFO:  del_multiple:0.006040398962795734
09-April-23 21:06:14 - INFO:  del_multiple:0.0059882281348109245
09-April-23 21:06:15 - INFO:  del_multiple:0.005972760729491711
09-April-23 21:06:15 - INFO:  del_multiple:0.006011398509144783
09-April-23 21:06:15 - INFO:  del_multiple:0.006019653752446175
09-April-23 21:06:16 - INFO:  del_multiple:0.005992524325847626
09-April-23 21:06:16 - INFO:  del_multiple:0.005887901410460472
09-April-23 21:06:16 - INFO:  del_multiple:0.006055500358343124
09-April-23 21:06:16 - INFO:  del_multiple:0.0060116685926914215
09-April-23 21:06:17 - INFO:  del_multiple:0.005750223062932491
09-April-23 21:06:17 - INFO:  del_multiple:0.006020816043019295
09-April-23 21:06:17 - INFO:  del_multiple:0.005954529158771038
09-April-23 21:06:17 - INFO:  del_multiple:0.006049191579222679
09-April-23 21:06:18 - INFO:  del_multiple:0.005912058986723423
09-April-23 21:06:18 - INFO:  del_multiple:0.006060044281184673
09-April-23 21:06:18 - INFO:  del_multiple:0.006008412688970566
09-April-23 21:06:18 - INFO:  del_multiple:0.005939713679254055
09-April-23 21:06:18 - INFO:  del_multiple:0.005964205600321293
09-April-23 21:06:18 - INFO:  del_multiple:0.005887697450816631
09-April-23 21:06:18 - INFO:  del_multiple:0.005930117331445217
09-April-23 21:06:18 - INFO:  del_multiple:0.005840888246893883
09-April-23 21:06:18 - INFO:  del_multiple:0.005761020816862583
09-April-23 21:06:18 - INFO:  del_multiple:0.00594113115221262
09-April-23 21:06:19 - INFO:  del_multiple:0.005621818825602531
09-April-23 21:06:19 - INFO:  del_multiple:0.005990586243569851
09-April-23 21:06:19 - INFO:  del_multiple:0.006003068760037422
09-April-23 21:06:19 - INFO:  del_multiple:0.005964228883385658
09-April-23 21:06:20 - INFO:  del_multiple:0.005940422415733337
09-April-23 21:06:20 - INFO:  del_multiple:0.006005372852087021
09-April-23 21:06:20 - INFO:  del_multiple:0.006025311537086964
09-April-23 21:06:20 - INFO:  del_multiple:0.006037349812686443
09-April-23 21:06:20 - INFO:  del_multiple:0.006049122661352158
09-April-23 21:06:20 - INFO:  del_multiple:0.006064383313059807
09-April-23 21:06:20 - INFO:  del_multiple:0.0060910629108548164
09-April-23 21:06:20 - INFO:  del_multiple:0.0060519324615597725
09-April-23 21:06:21 - INFO:  del_multiple:0.005649889819324017
09-April-23 21:06:21 - INFO:  del_multiple:0.0059692710638046265
09-April-23 21:06:21 - INFO:  del_multiple:0.006065920926630497
09-April-23 21:06:21 - INFO:  del_multiple:0.005995676852762699
09-April-23 21:06:21 - INFO:  del_multiple:0.006018317304551601
09-April-23 21:06:21 - INFO:  del_multiple:0.005995574407279491
09-April-23 21:06:21 - INFO:  del_multiple:0.00598805770277977
09-April-23 21:06:21 - INFO:  del_multiple:0.006019244901835918
09-April-23 21:06:22 - INFO:  del_multiple:0.005968189798295498
09-April-23 21:06:22 - INFO:  del_multiple:0.005918409675359726
09-April-23 21:06:22 - INFO:  del_multiple:0.006073988042771816
09-April-23 21:06:22 - INFO:  del_multiple:0.005955290049314499
09-April-23 21:06:22 - INFO:  del_multiple:0.005981426686048508
09-April-23 21:06:22 - INFO:  del_multiple:0.005972047336399555
