06-April-23 08:42:45 - INFO:  ---------------------------------------------------------------------------------------------------
06-April-23 08:43:58 - INFO:  get_all:0.0030174264684319496
06-April-23 08:43:58 - INFO:  get_range:0.002435648813843727
06-April-23 08:43:58 - INFO:  set_multiples:0.0009553581476211548
06-April-23 08:43:58 - INFO:  set_multiples:0.0009137904271483421
06-April-23 08:43:58 - INFO:  set_multiples:0.0008776849135756493
06-April-23 08:43:58 - INFO:  del_keys:0.0005505401641130447
06-April-23 08:43:58 - INFO:  get_all:0.000837608240544796
06-April-23 08:43:58 - INFO:  get_range:0.0008267750963568687
06-April-23 08:43:58 - INFO:  get_all:0.0006319191306829453
06-April-23 08:43:58 - INFO:  get_all:0.0009676869958639145
06-April-23 08:43:58 - INFO:  del_keys:0.0006399648264050484
06-April-23 08:43:58 - INFO:  set_multiples:0.0012127822265028954
06-April-23 08:43:58 - INFO:  get_all:0.0010525519028306007
06-April-23 08:43:58 - INFO:  get_all:0.0010617105290293694
06-April-23 08:43:58 - INFO:  set_multiples:0.0012796968221664429
06-April-23 08:43:58 - INFO:  set_to:0.000688185915350914
06-April-23 08:43:58 - INFO:  get_all:0.0010986300185322762
06-April-23 08:43:58 - INFO:  get_range:0.000699988566339016
06-April-23 08:43:58 - INFO:  get_all:0.00070949736982584
06-April-23 08:43:58 - INFO:  set_to:0.0005934154614806175
06-April-23 08:43:58 - INFO:  set_to:0.0006017331033945084
06-April-23 08:43:58 - INFO:  get_all:0.0010675769299268723
06-April-23 08:43:58 - INFO:  set_multiples:0.0012796605005860329
06-April-23 08:43:58 - INFO:  get_range:0.00427473708987236
06-April-23 08:43:58 - INFO:  get_all:0.0011056745424866676
06-April-23 08:43:58 - INFO:  get_all:0.0010873489081859589
06-April-23 08:43:58 - INFO:  del_keys:0.0007867543026804924
06-April-23 08:43:58 - INFO:  get_all:0.0007113739848136902
06-April-23 08:43:58 - INFO:  get_all:0.0007981332018971443
06-April-23 08:43:58 - INFO:  set_to:0.0006190938875079155
06-April-23 08:43:58 - INFO:  get_all:0.0010810010135173798
06-April-23 08:43:58 - INFO:  get_all:0.0010835276916623116
06-April-23 08:43:58 - INFO:  set_to:0.000612230971455574
06-April-23 08:43:58 - INFO:  get_all:0.0007092766463756561
06-April-23 08:43:58 - INFO:  set_multiples:0.0012244638055562973
06-April-23 08:43:58 - INFO:  get_all:0.0010817386209964752
06-April-23 08:43:58 - INFO:  get_all:0.0006840378046035767
06-April-23 08:43:58 - INFO:  set_multiples:0.0012289145961403847
06-April-23 08:43:58 - INFO:  get_range:0.001017887145280838
06-April-23 08:43:58 - INFO:  get_all:0.0007056156173348427
06-April-23 08:43:58 - INFO:  set_multiples:0.0012241452932357788
06-April-23 08:43:58 - INFO:  get_all:0.0006996588781476021
06-April-23 08:43:58 - INFO:  del_keys:0.0006916327401995659
06-April-23 08:43:58 - INFO:  set_multiples:0.00123684573918581
06-April-23 08:43:58 - INFO:  get_all:0.0007085008546710014
06-April-23 08:43:58 - INFO:  get_all:0.0007293913513422012
06-April-23 08:43:58 - INFO:  set_to:0.0006894124671816826
06-April-23 08:43:58 - INFO:  del_keys:0.0006755534559488297
06-April-23 08:43:58 - INFO:  set_to:0.0005570743232965469
06-April-23 08:43:58 - INFO:  set_to:0.0006107743829488754
06-April-23 08:43:58 - INFO:  set_to:0.0007006144151091576
06-April-23 08:43:58 - INFO:  del_keys:0.0006950525566935539
06-April-23 08:43:58 - INFO:  get_all:0.0006949892267584801
06-April-23 08:43:58 - INFO:  get_all:0.0006976434960961342
06-April-23 08:43:58 - INFO:  set_to:0.0006168019026517868
06-April-23 08:43:58 - INFO:  get_all:0.0007095774635672569
06-April-23 08:43:58 - INFO:  get_all:0.0010847318917512894
06-April-23 08:43:58 - INFO:  set_to:0.000607629306614399
06-April-23 08:43:58 - INFO:  del_keys:0.0006763143464922905
06-April-23 08:43:58 - INFO:  get_all:0.0007837777957320213
06-April-23 08:43:58 - INFO:  set_to:0.0006113899871706963
06-April-23 08:43:58 - INFO:  get_all:0.0006034420803189278
06-April-23 08:43:58 - INFO:  del_keys:0.0006812429055571556
06-April-23 08:43:58 - INFO:  get_range:0.0006766831502318382
06-April-23 08:43:58 - INFO:  del_keys:0.0007077036425471306
06-April-23 08:43:58 - INFO:  get_all:0.00109950453042984
06-April-23 08:43:58 - INFO:  set_to:0.0005936641246080399
06-April-23 08:43:58 - INFO:  get_all:0.0010969443246722221
06-April-23 08:43:58 - INFO:  del_keys:0.0006897486746311188
06-April-23 08:43:58 - INFO:  set_to:0.0006106486544013023
06-April-23 08:43:58 - INFO:  get_range:0.0006861267611384392
06-April-23 08:43:58 - INFO:  get_range:0.0006835106760263443
