08-April-23 17:01:47 - INFO:  ---------------------------------------------------------------------------------------------------
08-April-23 17:02:11 - INFO:  del_keys:0.005494097247719765
08-April-23 17:02:11 - INFO:  get_range:0.0025009596720337868
08-April-23 17:02:11 - INFO:  set_multiples:0.024726027622818947
08-April-23 17:02:11 - INFO:  get_all:0.01841279212385416
08-April-23 17:02:11 - INFO:  del_keys:0.0006710914894938469
08-April-23 17:02:11 - INFO:  del_keys:0.002764614298939705
08-April-23 17:02:11 - INFO:  del_keys:0.002903994172811508
08-April-23 17:02:11 - INFO:  get_range:0.0035067806020379066
08-April-23 17:02:11 - INFO:  get_range:0.003527906723320484
08-April-23 17:02:11 - INFO:  get_all:0.0005279826000332832
08-April-23 17:02:11 - INFO:  get_all:0.0005739545449614525
08-April-23 17:02:11 - INFO:  set_to:0.0005054306238889694
08-April-23 17:02:11 - INFO:  del_keys:0.0038826540112495422
08-April-23 17:02:12 - INFO:  get_all:0.027525772340595722
08-April-23 17:02:12 - INFO:  get_all:0.02648610807955265
08-April-23 17:02:12 - INFO:  get_all:0.0006918422877788544
08-April-23 17:02:12 - INFO:  del_keys:0.0039939964190125465
08-April-23 17:02:12 - INFO:  set_multiples:0.03819877374917269
08-April-23 17:02:12 - INFO:  set_to:0.0005114935338497162
08-April-23 17:02:12 - INFO:  get_all:0.0006196880713105202
08-April-23 17:02:12 - INFO:  get_all:0.0006435578688979149
08-April-23 17:02:12 - INFO:  del_keys:0.0041289664804935455
08-April-23 17:02:12 - INFO:  set_to:0.0005609570071101189
08-April-23 17:02:12 - INFO:  del_keys:0.0040422650054097176
08-April-23 17:02:12 - INFO:  del_keys:0.004068567417562008
08-April-23 17:02:12 - INFO:  get_all:0.030674348585307598
08-April-23 17:02:12 - INFO:  get_all:0.0006196256726980209
08-April-23 17:02:12 - INFO:  del_keys:0.004060957580804825
08-April-23 17:02:12 - INFO:  del_keys:0.004011340439319611
08-April-23 17:02:12 - INFO:  get_all:0.03056329768151045
08-April-23 17:02:12 - INFO:  set_multiples:0.039505330845713615
08-April-23 17:02:12 - INFO:  get_all:0.029738235287368298
08-April-23 17:02:12 - INFO:  get_all:0.0006152540445327759
08-April-23 17:02:12 - INFO:  get_range:0.004305862821638584
08-April-23 17:02:12 - INFO:  set_multiples:0.038697914220392704
08-April-23 17:02:12 - INFO:  get_all:0.028086761943995953
08-April-23 17:02:12 - INFO:  set_multiples:0.03248060494661331
08-April-23 17:02:12 - INFO:  set_multiples:0.030993837863206863
08-April-23 17:02:12 - INFO:  set_multiples:0.029021681286394596
08-April-23 17:02:12 - INFO:  set_to:0.0004976280033588409
08-April-23 17:02:12 - INFO:  get_all:0.024467196315526962
08-April-23 17:02:12 - INFO:  get_all:0.000595826655626297
08-April-23 17:02:12 - INFO:  set_multiples:0.035213980823755264
08-April-23 17:02:12 - INFO:  get_range:0.004168870858848095
08-April-23 17:02:12 - INFO:  del_keys:0.0006583072245121002
08-April-23 17:02:12 - INFO:  get_range:0.004371051676571369
08-April-23 17:02:12 - INFO:  get_range:0.004140269942581654
08-April-23 17:02:12 - INFO:  get_range:0.0041903359815478325
08-April-23 17:02:12 - INFO:  get_all:0.0006321975961327553
08-April-23 17:02:12 - INFO:  get_all:0.0006438083946704865
08-April-23 17:02:12 - INFO:  get_all:0.03072989732027054
08-April-23 17:02:12 - INFO:  set_to:0.0005602799355983734
08-April-23 17:02:12 - INFO:  get_all:0.03879626654088497
08-April-23 17:02:12 - INFO:  set_multiples:0.03609167132526636
08-April-23 17:02:12 - INFO:  get_all:0.0005663130432367325
08-April-23 17:02:12 - INFO:  get_all:0.0005206158384680748
08-April-23 17:02:12 - INFO:  del_keys:0.0035989414900541306
08-April-23 17:02:12 - INFO:  del_keys:0.0007974663749337196
08-April-23 17:02:12 - INFO:  set_to:0.0005144625902175903
08-April-23 17:02:12 - INFO:  set_multiples:0.047889675945043564
08-April-23 17:02:12 - INFO:  del_keys:0.003043689765036106
08-April-23 17:02:12 - INFO:  get_all:0.043440571054816246
08-April-23 17:02:12 - INFO:  del_keys:0.0006892625242471695
08-April-23 17:02:12 - INFO:  set_to:0.0005467971786856651
08-April-23 17:02:13 - INFO:  set_multiples:0.06587513722479343
08-April-23 17:02:13 - INFO:  set_multiples:0.05864039156585932
08-April-23 17:02:13 - INFO:  del_keys:0.0038279592990875244
08-April-23 17:02:13 - INFO:  get_all:0.0015706541016697884
08-April-23 17:02:13 - INFO:  get_all:0.03349311091005802
08-April-23 17:02:13 - INFO:  del_keys:0.013965537771582603
08-April-23 17:02:13 - INFO:  del_keys:0.000734187662601471
08-April-23 17:02:13 - INFO:  set_to:0.0008149975910782814
08-April-23 17:02:13 - INFO:  get_range:0.004938947036862373
08-April-23 17:02:13 - INFO:  get_range:0.0077226245775818825
08-April-23 17:02:13 - INFO:  get_all:0.06756879296153784
08-April-23 17:02:13 - INFO:  set_multiples:0.07446141634136438
08-April-23 17:02:13 - INFO:  del_keys:0.001626274548470974
08-April-23 17:02:13 - INFO:  get_range:0.0046800170093774796
08-April-23 17:02:13 - INFO:  del_keys:0.004116218537092209
08-April-23 17:02:13 - INFO:  get_all:0.002496541477739811
08-April-23 17:02:13 - INFO:  set_to:0.0005465317517518997
08-April-23 17:02:13 - INFO:  set_to:0.0006945403292775154
08-April-23 17:02:13 - INFO:  set_to:0.0004926528781652451
08-April-23 17:02:13 - INFO:  get_all:0.0006891535595059395
08-April-23 17:02:13 - INFO:  set_multiples:0.06649785302579403
08-April-23 17:02:13 - INFO:  get_all:0.05506653990596533
08-April-23 17:02:13 - INFO:  del_keys:0.0040856050327420235
08-April-23 17:02:13 - INFO:  set_multiples:0.0560744721442461
08-April-23 17:02:13 - INFO:  set_multiples:0.08269111905246973
08-April-23 17:02:13 - INFO:  set_to:0.000504596158862114
08-April-23 17:02:13 - INFO:  set_to:0.0006448421627283096
08-April-23 17:02:13 - INFO:  set_to:0.0073602208867669106
08-April-23 17:02:13 - INFO:  set_multiples:0.04180746432393789
08-April-23 17:02:13 - INFO:  del_keys:0.004055766388773918
