07-April-23 06:48:58 - INFO:  ---------------------------------------------------------------------------------------------------
07-April-23 06:49:15 - INFO:  get_range:0.002989651635289192
07-April-23 06:49:15 - INFO:  del_keys:0.0023810211569070816
07-April-23 06:49:15 - INFO:  set_multiples:0.0035576215013861656
07-April-23 06:49:15 - INFO:  set_to:0.0005329027771949768
07-April-23 06:49:15 - INFO:  get_range:0.0025576110929250717
07-April-23 06:49:15 - INFO:  get_range:0.002706133760511875
07-April-23 06:49:15 - INFO:  get_all:0.0006279740482568741
07-April-23 06:49:15 - INFO:  set_to:0.0005274629220366478
07-April-23 06:49:15 - INFO:  get_all:0.003257974050939083
07-April-23 06:49:15 - INFO:  set_to:0.0006677638739347458
07-April-23 06:49:15 - INFO:  set_to:0.0005685975775122643
07-April-23 06:49:15 - INFO:  get_all:0.0034796465188264847
07-April-23 06:49:15 - INFO:  get_all:0.0034673912450671196
07-April-23 06:49:15 - INFO:  get_all:0.0005619637668132782
07-April-23 06:49:15 - INFO:  get_all:0.0006580185145139694
07-April-23 06:49:15 - INFO:  get_range:0.02620738558471203
07-April-23 06:49:15 - INFO:  get_range:0.0031138909980654716
07-April-23 06:49:15 - INFO:  get_all:0.0006664898246526718
07-April-23 06:49:15 - INFO:  get_all:0.003771319054067135
07-April-23 06:49:15 - INFO:  get_all:0.003904007375240326
07-April-23 06:49:15 - INFO:  get_all:0.0006833598017692566
07-April-23 06:49:15 - INFO:  set_multiples:0.005442369729280472
07-April-23 06:49:15 - INFO:  get_range:0.00100760068744421
07-April-23 06:49:15 - INFO:  get_range:0.0036867428570985794
07-April-23 06:49:15 - INFO:  set_to:0.0005839802324771881
07-April-23 06:49:15 - INFO:  get_all:0.0007176026701927185
07-April-23 06:49:15 - INFO:  set_multiples:0.0053879860788583755
07-April-23 06:49:15 - INFO:  del_keys:0.0036827856674790382
07-April-23 06:49:15 - INFO:  del_keys:0.003740902990102768
07-April-23 06:49:15 - INFO:  del_keys:0.003760075196623802
07-April-23 06:49:15 - INFO:  get_all:0.0037461305037140846
07-April-23 06:49:15 - INFO:  set_to:0.000614529475569725
07-April-23 06:49:15 - INFO:  get_all:0.0007028169929981232
07-April-23 06:49:15 - INFO:  del_keys:0.0037542637437582016
07-April-23 06:49:15 - INFO:  get_range:0.0010070446878671646
07-April-23 06:49:15 - INFO:  get_all:0.0007817903533577919
07-April-23 06:49:15 - INFO:  set_to:0.000584673136472702
07-April-23 06:49:15 - INFO:  del_keys:0.0039645349606871605
07-April-23 06:49:15 - INFO:  del_keys:0.003782372921705246
07-April-23 06:49:15 - INFO:  del_keys:0.0037529151886701584
07-April-23 06:49:15 - INFO:  set_multiples:0.005402879789471626
07-April-23 06:49:15 - INFO:  get_range:0.0010007964447140694
07-April-23 06:49:15 - INFO:  del_keys:0.003949377685785294
07-April-23 06:49:15 - INFO:  get_range:0.030112896114587784
07-April-23 06:49:15 - INFO:  get_all:0.0006819507107138634
07-April-23 06:49:15 - INFO:  get_all:0.0007005296647548676
07-April-23 06:49:15 - INFO:  set_multiples:0.005423974245786667
07-April-23 06:49:15 - INFO:  set_to:0.0005836905911564827
07-April-23 06:49:15 - INFO:  set_multiples:0.0049681346863508224
07-April-23 06:49:15 - INFO:  get_all:0.00389701034873724
07-April-23 06:49:15 - INFO:  get_range:0.0006924569606781006
07-April-23 06:49:15 - INFO:  get_range:0.013590347021818161
07-April-23 06:49:15 - INFO:  set_multiples:0.004205795936286449
07-April-23 06:49:15 - INFO:  set_to:0.0005668662488460541
07-April-23 06:49:15 - INFO:  get_range:0.0036750584840774536
07-April-23 06:49:15 - INFO:  get_all:0.0007171165198087692
07-April-23 06:49:15 - INFO:  set_multiples:0.0049320366233587265
07-April-23 06:49:15 - INFO:  get_all:0.0006860559806227684
07-April-23 06:49:15 - INFO:  set_multiples:0.005329465493559837
07-April-23 06:49:15 - INFO:  set_to:0.0006722072139382362
07-April-23 06:49:15 - INFO:  set_to:0.0005724681541323662
07-April-23 06:49:15 - INFO:  get_range:0.000884626992046833
07-April-23 06:49:15 - INFO:  set_multiples:0.005323036573827267
07-April-23 06:49:15 - INFO:  set_multiples:0.005003746598958969
07-April-23 06:49:15 - INFO:  del_keys:0.0037258807569742203
07-April-23 06:49:16 - INFO:  get_all:0.0037269694730639458
07-April-23 06:49:16 - INFO:  set_multiples:0.0049455855041742325
07-April-23 06:49:16 - INFO:  set_multiples:0.005299956537783146
07-April-23 06:49:16 - INFO:  set_to:0.0006154589354991913
07-April-23 06:49:16 - INFO:  set_to:0.0006051398813724518
07-April-23 06:49:16 - INFO:  get_all:0.004227220080792904
07-April-23 06:49:16 - INFO:  get_all:0.0006927493959665298
07-April-23 06:49:16 - INFO:  del_keys:0.003946531563997269
07-April-23 06:49:16 - INFO:  set_to:0.000613287091255188
07-April-23 06:49:16 - INFO:  get_all:0.00392812117934227
07-April-23 06:49:16 - INFO:  get_all:0.003910185769200325
07-April-23 06:49:16 - INFO:  get_range:0.0010035969316959381
07-April-23 06:49:16 - INFO:  get_all:0.0005991356447339058
07-April-23 06:49:16 - INFO:  get_all:0.0037575997412204742
07-April-23 06:49:16 - INFO:  get_all:0.0006953207775950432
07-April-23 06:49:16 - INFO:  set_to:0.000576535239815712
07-April-23 06:49:16 - INFO:  get_range:0.001008099876344204
07-April-23 06:49:16 - INFO:  del_keys:0.0038002096116542816
07-April-23 06:49:16 - INFO:  get_all:0.0037183836102485657
07-April-23 06:49:16 - INFO:  get_all:0.003725999966263771
07-April-23 06:49:16 - INFO:  get_all:0.0037215137854218483
07-April-23 06:49:16 - INFO:  set_multiples:0.005413999781012535
07-April-23 06:49:16 - INFO:  get_range:0.0037194760516285896
07-April-23 06:49:16 - INFO:  get_all:0.0040991902351379395
07-April-23 06:49:16 - INFO:  get_all:0.003920801915228367
07-April-23 06:49:16 - INFO:  set_to:0.0006121965125203133
07-April-23 06:49:16 - INFO:  set_to:0.0005938289687037468
07-April-23 06:49:16 - INFO:  get_range:0.029719319194555283
07-April-23 06:49:16 - INFO:  set_to:0.0006050411611795425
07-April-23 06:49:16 - INFO:  del_keys:0.0037340279668569565
07-April-23 06:49:16 - INFO:  get_range:0.0006876550614833832
07-April-23 06:49:16 - INFO:  get_all:0.0007050149142742157
07-April-23 06:49:16 - INFO:  set_multiples:0.005471064709126949
07-April-23 06:49:16 - INFO:  del_keys:0.003697020933032036
07-April-23 06:49:16 - INFO:  get_all:0.003738848492503166
07-April-23 06:49:16 - INFO:  get_all:0.0007004337385296822
07-April-23 06:49:16 - INFO:  get_all:0.003673519939184189
07-April-23 06:49:16 - INFO:  get_all:0.0037283040583133698
07-April-23 06:49:16 - INFO:  get_all:0.0036884769797325134
07-April-23 06:49:16 - INFO:  set_multiples:0.005476237274706364
07-April-23 06:49:16 - INFO:  set_multiples:0.0050139836966991425
07-April-23 06:49:16 - INFO:  set_multiples:0.005315051414072514
07-April-23 06:49:16 - INFO:  set_multiples:0.005303319543600082
07-April-23 06:49:16 - INFO:  get_all:0.0007887100800871849
07-April-23 06:49:16 - INFO:  set_to:0.0006136950105428696
07-April-23 06:49:16 - INFO:  set_to:0.000608435831964016
07-April-23 06:49:16 - INFO:  set_multiples:0.005239764228463173
07-April-23 06:49:16 - INFO:  del_keys:0.0037303995341062546
07-April-23 06:49:16 - INFO:  set_multiples:0.005258159711956978
07-April-23 06:49:16 - INFO:  set_multiples:0.005024449899792671
07-April-23 06:49:16 - INFO:  set_multiples:0.004935866221785545
07-April-23 06:49:16 - INFO:  get_all:0.0007751565426588058
07-April-23 06:49:16 - INFO:  get_all:0.004202805459499359
07-April-23 06:49:16 - INFO:  set_multiples:0.005010494031012058
07-April-23 06:49:16 - INFO:  set_multiples:0.005345344543457031
07-April-23 06:49:16 - INFO:  set_multiples:0.004909669980406761
07-April-23 06:49:16 - INFO:  set_multiples:0.005312531255185604
07-April-23 06:49:16 - INFO:  del_keys:0.0037349434569478035
07-April-23 06:49:16 - INFO:  get_range:0.0006972318515181541
07-April-23 06:49:16 - INFO:  get_all:0.0007100906223058701
07-April-23 06:49:16 - INFO:  get_range:0.029524466022849083
