06-April-23 15:53:28 - INFO:  ---------------------------------------------------------------------------------------------------
06-April-23 15:53:48 - INFO:  get_range:0.006438462063670158
06-April-23 15:53:48 - INFO:  del_keys:0.002146972343325615
06-April-23 15:53:48 - INFO:  del_keys:0.002310667186975479
06-April-23 15:53:48 - INFO:  get_all:0.00047208648175001144
06-April-23 15:53:48 - INFO:  get_all:0.0006089042872190475
06-April-23 15:53:48 - INFO:  set_multiples:0.000914406031370163
06-April-23 15:53:48 - INFO:  get_range:0.0005498258396983147
06-April-23 15:53:48 - INFO:  del_keys:0.0028308574110269547
06-April-23 15:53:48 - INFO:  get_all:0.0009243832901120186
06-April-23 15:53:48 - INFO:  get_all:0.0009809061884880066
06-April-23 15:53:48 - INFO:  del_keys:0.0030937213450670242
06-April-23 15:53:48 - INFO:  set_multiples:0.0010863980278372765
06-April-23 15:53:48 - INFO:  del_keys:0.003330969251692295
06-April-23 15:53:48 - INFO:  get_all:0.0006215116009116173
06-April-23 15:53:48 - INFO:  get_all:0.000608113594353199
06-April-23 15:53:48 - INFO:  get_range:0.0009596860036253929
06-April-23 15:53:48 - INFO:  get_all:0.001019262708723545
06-April-23 15:53:48 - INFO:  get_all:0.001023584045469761
06-April-23 15:53:48 - INFO:  get_all:0.0010151900351047516
06-April-23 15:53:48 - INFO:  get_range:0.004366924054920673
06-April-23 15:53:48 - INFO:  get_all:0.001026044599711895
06-April-23 15:53:48 - INFO:  get_range:0.003951803781092167
06-April-23 15:53:48 - INFO:  set_to:0.0005834698677062988
06-April-23 15:53:48 - INFO:  del_keys:0.003986977972090244
06-April-23 15:53:48 - INFO:  set_to:0.0005518561229109764
06-April-23 15:53:48 - INFO:  get_all:0.0006354767829179764
06-April-23 15:53:48 - INFO:  set_multiples:0.0011175824329257011
06-April-23 15:53:48 - INFO:  set_to:0.0005472088232636452
06-April-23 15:53:48 - INFO:  get_all:0.0009868815541267395
06-April-23 15:53:48 - INFO:  get_all:0.0006435858085751534
06-April-23 15:53:48 - INFO:  get_all:0.0006302585825324059
06-April-23 15:53:48 - INFO:  set_multiples:0.0011089183390140533
06-April-23 15:53:48 - INFO:  del_keys:0.003684869036078453
06-April-23 15:53:48 - INFO:  set_to:0.00047941505908966064
06-April-23 15:53:48 - INFO:  set_to:0.0004737088456749916
06-April-23 15:53:48 - INFO:  get_range:0.0037207193672657013
06-April-23 15:53:48 - INFO:  set_to:0.0005521271377801895
06-April-23 15:53:48 - INFO:  get_all:0.0009825965389609337
06-April-23 15:53:48 - INFO:  get_all:0.0006165672093629837
06-April-23 15:53:48 - INFO:  get_all:0.0006423452869057655
06-April-23 15:53:48 - INFO:  get_range:0.0006458712741732597
06-April-23 15:53:48 - INFO:  get_range:0.03252101968973875
06-April-23 15:53:48 - INFO:  set_multiples:0.0010871384292840958
06-April-23 15:53:48 - INFO:  get_range:0.0037066759541630745
06-April-23 15:53:48 - INFO:  set_multiples:0.0010826531797647476
06-April-23 15:53:48 - INFO:  get_all:0.0010714530944824219
06-April-23 15:53:48 - INFO:  get_range:0.003730395808815956
06-April-23 15:53:48 - INFO:  del_keys:0.0037032002583146095
06-April-23 15:53:48 - INFO:  get_all:0.0010579181835055351
06-April-23 15:53:48 - INFO:  set_to:0.0005438821390271187
06-April-23 15:53:48 - INFO:  get_range:0.029805614612996578
06-April-23 15:53:48 - INFO:  get_all:0.0009461091831326485
06-April-23 15:53:48 - INFO:  get_all:0.0007347306236624718
06-April-23 15:53:48 - INFO:  set_to:0.0006322618573904037
