06-April-23 12:01:44 - INFO:  ---------------------------------------------------------------------------------------------------
06-April-23 12:02:05 - INFO:  set_multiples:0.006883753463625908
06-April-23 12:02:05 - INFO:  set_to:0.0004239799454808235
06-April-23 12:02:05 - INFO:  del_keys:0.002367807552218437
06-April-23 12:02:05 - INFO:  set_multiples:0.003337876871228218
06-April-23 12:02:05 - INFO:  del_keys:0.002668321132659912
06-April-23 12:02:05 - INFO:  del_keys:0.0028528766706585884
06-April-23 12:02:05 - INFO:  get_all:0.0005693407729268074
06-April-23 12:02:05 - INFO:  get_range:0.00079342070966959
06-April-23 12:02:05 - INFO:  set_multiples:0.0036987848579883575
06-April-23 12:02:05 - INFO:  get_all:0.0005369819700717926
06-April-23 12:02:05 - INFO:  get_all:0.003200957551598549
06-April-23 12:02:05 - INFO:  set_multiples:0.004044278524816036
06-April-23 12:02:05 - INFO:  del_keys:0.0033538229763507843
06-April-23 12:02:05 - INFO:  get_all:0.0005796439945697784
06-April-23 12:02:05 - INFO:  get_all:0.0006293430924415588
06-April-23 12:02:05 - INFO:  get_all:0.0036498000845313072
06-April-23 12:02:05 - INFO:  set_to:0.0005640247836709023
06-April-23 12:02:05 - INFO:  get_range:0.0009752316400408745
06-April-23 12:02:05 - INFO:  set_to:0.0005635665729641914
06-April-23 12:02:05 - INFO:  set_to:0.0005560731515288353
06-April-23 12:02:05 - INFO:  del_keys:0.0037596384063363075
06-April-23 12:02:05 - INFO:  get_range:0.0009657023474574089
06-April-23 12:02:05 - INFO:  del_keys:0.0037149451673030853
06-April-23 12:02:05 - INFO:  get_range:0.003779318183660507
06-April-23 12:02:05 - INFO:  set_to:0.0005036992952227592
06-April-23 12:02:05 - INFO:  get_range:0.0009552007541060448
06-April-23 12:02:05 - INFO:  get_all:0.0006632544100284576
06-April-23 12:02:05 - INFO:  get_all:0.003687523305416107
06-April-23 12:02:05 - INFO:  set_to:0.0005456451326608658
06-April-23 12:02:05 - INFO:  set_multiples:0.005104345269501209
06-April-23 12:02:05 - INFO:  set_to:0.0005163904279470444
06-April-23 12:02:05 - INFO:  get_all:0.0006383135914802551
06-April-23 12:02:05 - INFO:  get_all:0.004222526215016842
06-April-23 12:02:05 - INFO:  get_all:0.003888346254825592
06-April-23 12:02:05 - INFO:  get_range:0.0037240181118249893
06-April-23 12:02:05 - INFO:  get_range:0.03137677442282438
06-April-23 12:02:05 - INFO:  get_range:0.02706311084330082
06-April-23 12:02:05 - INFO:  set_to:0.000606972724199295
06-April-23 12:02:05 - INFO:  get_range:0.028724584728479385
06-April-23 12:02:05 - INFO:  del_keys:0.0033854618668556213
06-April-23 12:02:05 - INFO:  get_all:0.0035042976960539818
06-April-23 12:02:05 - INFO:  set_multiples:0.004997627809643745
06-April-23 12:02:05 - INFO:  del_keys:0.0037071527913212776
