06-April-23 14:32:29 - INFO:  ---------------------------------------------------------------------------------------------------
06-April-23 14:32:53 - INFO:  set_multiples:0.008503197692334652
06-April-23 14:32:53 - INFO:  get_range:0.000600399449467659
06-April-23 14:32:53 - INFO:  get_all:0.0030289608985185623
06-April-23 14:32:53 - INFO:  get_all:0.003106331452727318
06-April-23 14:32:53 - INFO:  set_multiples:0.004281485453248024
06-April-23 14:32:53 - INFO:  get_range:0.0031559253111481667
06-April-23 14:32:53 - INFO:  set_multiples:0.0044393595308065414
06-April-23 14:32:53 - INFO:  del_keys:0.0012752637267112732
06-April-23 14:32:53 - INFO:  get_all:0.0038507413119077682
06-April-23 14:32:53 - INFO:  set_multiples:0.0052156588062644005
06-April-23 14:32:53 - INFO:  set_to:0.0005452223122119904
06-April-23 14:32:53 - INFO:  get_range:0.0038336068391799927
06-April-23 14:32:53 - INFO:  del_keys:0.001319357194006443
06-April-23 14:32:53 - INFO:  del_keys:0.001487184315919876
06-April-23 14:32:53 - INFO:  set_multiples:0.00523208174854517
06-April-23 14:32:53 - INFO:  set_multiples:0.0051099993288517
06-April-23 14:32:53 - INFO:  set_to:0.000504673458635807
06-April-23 14:32:53 - INFO:  del_keys:0.0014499938115477562
06-April-23 14:32:53 - INFO:  set_multiples:0.006024288013577461
06-April-23 14:32:53 - INFO:  del_keys:0.0015106694772839546
06-April-23 14:32:53 - INFO:  set_to:0.0005991002544760704
06-April-23 14:32:53 - INFO:  set_to:0.0005120560526847839
06-April-23 14:32:53 - INFO:  set_to:0.0005098730325698853
06-April-23 14:32:53 - INFO:  get_all:0.0005825450643897057
06-April-23 14:32:53 - INFO:  get_all:0.004564453847706318
06-April-23 14:32:53 - INFO:  set_to:0.0005118846893310547
06-April-23 14:32:53 - INFO:  set_to:0.000539739616215229
06-April-23 14:32:53 - INFO:  get_all:0.0005557471886277199
06-April-23 14:32:53 - INFO:  set_multiples:0.0051853228360414505
06-April-23 14:32:53 - INFO:  get_all:0.0048671904951334
06-April-23 14:32:53 - INFO:  set_multiples:0.0058586690574884415
06-April-23 14:32:53 - INFO:  del_keys:0.0013241497799754143
06-April-23 14:32:53 - INFO:  set_multiples:0.005499989725649357
06-April-23 14:32:53 - INFO:  get_range:0.004038567654788494
06-April-23 14:32:53 - INFO:  set_multiples:0.006042558699846268
06-April-23 14:32:53 - INFO:  del_keys:0.0014964230358600616
06-April-23 14:32:53 - INFO:  set_to:0.0005068937316536903
06-April-23 14:32:53 - INFO:  set_to:0.0004903413355350494
06-April-23 14:32:53 - INFO:  del_keys:0.0012359227985143661
06-April-23 14:32:53 - INFO:  get_range:0.00418353546410799
06-April-23 14:32:53 - INFO:  get_all:0.004823517054319382
06-April-23 14:32:53 - INFO:  set_to:0.000560276210308075
06-April-23 14:32:53 - INFO:  get_all:0.0044522276148200035
06-April-23 14:32:53 - INFO:  set_to:0.0005161026492714882
06-April-23 14:32:53 - INFO:  get_range:0.004433766007423401
06-April-23 14:32:53 - INFO:  get_all:0.0048042479902505875
06-April-23 14:32:53 - INFO:  get_all:0.004526103846728802
06-April-23 14:32:53 - INFO:  get_all:0.004797613248229027
06-April-23 14:32:53 - INFO:  get_range:0.0013100681826472282
06-April-23 14:32:53 - INFO:  set_to:0.0005027428269386292
06-April-23 14:32:53 - INFO:  get_all:0.004788961261510849
06-April-23 14:32:53 - INFO:  set_multiples:0.005872356705367565
06-April-23 14:32:53 - INFO:  set_to:0.0005342764779925346
06-April-23 14:32:53 - INFO:  del_keys:0.0014502797275781631
06-April-23 14:32:53 - INFO:  get_all:0.00478142686188221
06-April-23 14:32:53 - INFO:  get_all:0.0006041796877980232
06-April-23 14:32:53 - INFO:  del_keys:0.0012887772172689438
06-April-23 14:32:53 - INFO:  get_all:0.0006835367530584335
06-April-23 14:32:53 - INFO:  set_to:0.0005891770124435425
06-April-23 14:32:53 - INFO:  del_keys:0.0015016207471489906
06-April-23 14:32:53 - INFO:  set_to:0.0004919152706861496
06-April-23 14:32:53 - INFO:  get_all:0.004706637002527714
06-April-23 14:32:53 - INFO:  get_all:0.0006790496408939362
06-April-23 14:32:53 - INFO:  get_all:0.00475448090583086
06-April-23 14:32:53 - INFO:  get_all:0.0005381861701607704
06-April-23 14:32:53 - INFO:  get_range:0.001377948559820652
06-April-23 14:32:53 - INFO:  del_keys:0.0013213809579610825
06-April-23 14:32:53 - INFO:  get_all:0.004587042145431042
06-April-23 14:32:53 - INFO:  del_keys:0.0013610292226076126
06-April-23 14:32:53 - INFO:  del_keys:0.0014198888093233109
06-April-23 14:32:53 - INFO:  set_to:0.0005586873739957809
06-April-23 14:32:53 - INFO:  set_multiples:0.005631968379020691
06-April-23 14:32:53 - INFO:  set_to:0.0005411887541413307
06-April-23 14:32:53 - INFO:  set_to:0.0005935905501246452
06-April-23 14:32:53 - INFO:  get_range:0.0005892980843782425
06-April-23 14:32:53 - INFO:  del_keys:0.0012528160586953163
06-April-23 14:32:53 - INFO:  get_range:0.0005196612328290939
06-April-23 14:32:53 - INFO:  del_keys:0.0013303300365805626
06-April-23 14:32:53 - INFO:  get_all:0.0006913561373949051
06-April-23 14:32:53 - INFO:  set_multiples:0.006230677478015423
06-April-23 14:32:53 - INFO:  get_range:0.0012566335499286652
06-April-23 14:32:53 - INFO:  del_keys:0.0012684548273682594
06-April-23 14:32:53 - INFO:  set_to:0.0005025621503591537
06-April-23 14:32:53 - INFO:  del_keys:0.0016427068039774895
06-April-23 14:32:53 - INFO:  get_all:0.0006833644583821297
06-April-23 14:32:53 - INFO:  get_range:0.034695095382630825
06-April-23 14:32:53 - INFO:  get_all:0.000751180574297905
06-April-23 14:32:53 - INFO:  get_range:0.0014466634020209312
06-April-23 14:32:53 - INFO:  get_all:0.0006724521517753601
06-April-23 14:32:53 - INFO:  get_all:0.004655078984797001
06-April-23 14:32:53 - INFO:  del_keys:0.0014901403337717056
06-April-23 14:32:53 - INFO:  set_to:0.0005177054554224014
06-April-23 14:32:53 - INFO:  get_all:0.0005523022264242172
06-April-23 14:32:53 - INFO:  get_range:0.004369549453258514
06-April-23 14:32:53 - INFO:  get_all:0.0006926199421286583
06-April-23 14:32:53 - INFO:  set_to:0.0005469555035233498
06-April-23 14:32:53 - INFO:  set_to:0.0004615234211087227
06-April-23 14:32:53 - INFO:  set_to:0.0005934583023190498
06-April-23 14:32:53 - INFO:  get_range:0.0006842268630862236
06-April-23 14:32:53 - INFO:  get_all:0.004673958756029606
06-April-23 14:32:53 - INFO:  get_all:0.0005898941308259964
06-April-23 14:32:53 - INFO:  set_multiples:0.0061326781287789345
06-April-23 14:32:53 - INFO:  get_all:0.0005724616348743439
06-April-23 14:32:53 - INFO:  set_to:0.0005848919972777367
06-April-23 14:32:53 - INFO:  get_range:0.033388291485607624
06-April-23 14:32:53 - INFO:  del_keys:0.001280287280678749
06-April-23 14:32:53 - INFO:  set_to:0.0004933644086122513
06-April-23 14:32:53 - INFO:  set_to:0.0005454458296298981
