08-April-23 17:33:34 - INFO:  ---------------------------------------------------------------------------------------------------
08-April-23 17:33:59 - INFO:  del_keys:0.008986461907625198
08-April-23 17:33:59 - INFO:  set_multiples:0.028117865324020386
08-April-23 17:33:59 - INFO:  set_to:0.000436895526945591
08-April-23 17:33:59 - INFO:  get_all:0.00041207950562238693
08-April-23 17:33:59 - INFO:  set_multiples:0.025658619590103626
08-April-23 17:33:59 - INFO:  get_all:0.019689375534653664
08-April-23 17:33:59 - INFO:  get_all:0.020925370045006275
08-April-23 17:33:59 - INFO:  del_keys:0.0006499392911791801
08-April-23 17:33:59 - INFO:  set_multiples:0.03277897648513317
08-April-23 17:33:59 - INFO:  get_range:0.005723645910620689
08-April-23 17:33:59 - INFO:  del_keys:0.005409525707364082
08-April-23 17:33:59 - INFO:  del_keys:0.0006744544953107834
08-April-23 17:33:59 - INFO:  set_to:0.0005333265289664268
08-April-23 17:33:59 - INFO:  get_range:0.0061565302312374115
08-April-23 17:33:59 - INFO:  del_keys:0.005890949629247189
08-April-23 17:33:59 - INFO:  set_multiples:0.046592061407864094
08-April-23 17:33:59 - INFO:  get_all:0.03529203403741121
08-April-23 17:33:59 - INFO:  get_all:0.032631658017635345
08-April-23 17:33:59 - INFO:  get_all:0.0006601056084036827
08-April-23 17:33:59 - INFO:  set_multiples:0.04638776835054159
08-April-23 17:33:59 - INFO:  set_to:0.0005266955122351646
08-April-23 17:33:59 - INFO:  set_to:0.0004847440868616104
08-April-23 17:33:59 - INFO:  set_to:0.0005610128864645958
08-April-23 17:33:59 - INFO:  get_all:0.0006385622546076775
08-April-23 17:33:59 - INFO:  get_all:0.035912723280489445
08-April-23 17:33:59 - INFO:  get_range:0.006358753889799118
08-April-23 17:33:59 - INFO:  del_keys:0.0006672460585832596
08-April-23 17:33:59 - INFO:  get_all:0.0006668567657470703
08-April-23 17:34:00 - INFO:  get_range:0.006409011781215668
08-April-23 17:34:00 - INFO:  del_keys:0.0005717426538467407
08-April-23 17:34:00 - INFO:  get_all:0.03577924706041813
08-April-23 17:34:00 - INFO:  set_to:0.0005432497709989548
08-April-23 17:34:00 - INFO:  del_keys:0.005745050497353077
08-April-23 17:34:00 - INFO:  set_to:0.0005506603047251701
08-April-23 17:34:00 - INFO:  get_range:0.006409472785890102
08-April-23 17:34:00 - INFO:  del_keys:0.0006404323503375053
08-April-23 17:34:00 - INFO:  del_keys:0.005828254856169224
08-April-23 17:34:00 - INFO:  del_keys:0.005921078845858574
08-April-23 17:34:00 - INFO:  get_all:0.03481257427483797
08-April-23 17:34:00 - INFO:  get_all:0.0008278852328658104
08-April-23 17:34:00 - INFO:  set_multiples:0.047001332975924015
08-April-23 17:34:00 - INFO:  get_all:0.0006315512582659721
08-April-23 17:34:00 - INFO:  set_to:0.000606343150138855
08-April-23 17:34:00 - INFO:  get_range:0.006407587788999081
08-April-23 17:34:00 - INFO:  set_multiples:0.04736507125198841
08-April-23 17:34:00 - INFO:  del_keys:0.0006657084450125694
08-April-23 17:34:00 - INFO:  get_all:0.03526206500828266
08-April-23 17:34:00 - INFO:  get_all:0.0006657401099801064
08-April-23 17:34:00 - INFO:  del_keys:0.0007654689252376556
08-April-23 17:34:00 - INFO:  get_all:0.000679786317050457
08-April-23 17:34:00 - INFO:  del_keys:0.0006723767146468163
08-April-23 17:34:00 - INFO:  set_to:0.0005582505837082863
08-April-23 17:34:00 - INFO:  set_multiples:0.027586398646235466
08-April-23 17:34:00 - INFO:  get_range:0.014881257899105549
08-April-23 17:34:00 - INFO:  set_to:0.0005799699574708939
08-April-23 17:34:00 - INFO:  set_to:0.0007755747064948082
08-April-23 17:34:00 - INFO:  get_range:0.007059596478939056
08-April-23 17:34:00 - INFO:  del_keys:0.0006448095664381981
08-April-23 17:34:00 - INFO:  set_multiples:0.043822940438985825
08-April-23 17:34:00 - INFO:  set_multiples:0.07128806132823229
08-April-23 17:34:00 - INFO:  get_all:0.004656516946852207
08-April-23 17:34:00 - INFO:  set_multiples:0.04854562506079674
08-April-23 17:34:00 - INFO:  del_keys:0.0024577174335718155
08-April-23 17:34:00 - INFO:  set_to:0.001852281391620636
08-April-23 17:34:00 - INFO:  get_all:0.002704865299165249
08-April-23 17:34:00 - INFO:  set_to:0.004110878333449364
08-April-23 17:34:00 - INFO:  get_all:0.03457240108400583
08-April-23 17:34:00 - INFO:  set_to:0.000472179614007473
08-April-23 17:34:00 - INFO:  del_keys:0.0008105030283331871
08-April-23 17:34:00 - INFO:  del_keys:0.005670573562383652
08-April-23 17:34:00 - INFO:  get_range:0.00654175877571106
08-April-23 17:34:00 - INFO:  del_keys:0.005156145431101322
08-April-23 17:34:00 - INFO:  set_to:0.0005543045699596405
08-April-23 17:34:00 - INFO:  set_multiples:0.05850826855748892
08-April-23 17:34:00 - INFO:  set_to:0.0047317808493971825
08-April-23 17:34:00 - INFO:  get_all:0.0414680615067482
08-April-23 17:34:00 - INFO:  get_range:0.013694736175239086
08-April-23 17:34:00 - INFO:  get_range:0.00825000274926424
08-April-23 17:34:00 - INFO:  del_keys:0.008822768926620483
08-April-23 17:34:00 - INFO:  get_all:0.0007722023874521255
08-April-23 17:34:00 - INFO:  set_to:0.0005744053050875664
08-April-23 17:34:00 - INFO:  set_multiples:0.06986158899962902
08-April-23 17:34:00 - INFO:  get_all:0.06206774991005659
08-April-23 17:34:00 - INFO:  get_all:0.0026948023587465286
08-April-23 17:34:00 - INFO:  del_keys:0.0007462026551365852
08-April-23 17:34:00 - INFO:  get_all:0.0007531903684139252
08-April-23 17:34:00 - INFO:  get_range:0.016372432932257652
08-April-23 17:34:00 - INFO:  set_multiples:0.06296981405466795
