08-April-23 16:43:49 - INFO:  ---------------------------------------------------------------------------------------------------
08-April-23 16:44:13 - INFO:  del_keys:0.0024624355137348175
08-April-23 16:44:13 - INFO:  set_to:0.0004924330860376358
08-April-23 16:44:13 - INFO:  del_keys:0.00248720683157444
08-April-23 16:44:13 - INFO:  get_all:0.01597491931170225
08-April-23 16:44:13 - INFO:  get_all:0.0004324130713939667
08-April-23 16:44:13 - INFO:  set_to:0.00037952233105897903
08-April-23 16:44:13 - INFO:  get_all:0.0005019828677177429
08-April-23 16:44:13 - INFO:  del_keys:0.0021094288676977158
08-April-23 16:44:13 - INFO:  set_to:0.0004011886194348335
08-April-23 16:44:13 - INFO:  get_range:0.00269498024135828
08-April-23 16:44:13 - INFO:  set_multiples:0.028174051083624363
08-April-23 16:44:13 - INFO:  get_range:0.002715017646551132
08-April-23 16:44:13 - INFO:  del_keys:0.002468942664563656
08-April-23 16:44:13 - INFO:  get_range:0.003055548295378685
08-April-23 16:44:13 - INFO:  set_to:0.0004853559657931328
08-April-23 16:44:13 - INFO:  set_multiples:0.03227240778505802
08-April-23 16:44:13 - INFO:  set_multiples:0.032143414951860905
08-April-23 16:44:13 - INFO:  del_keys:0.0005240589380264282
08-April-23 16:44:13 - INFO:  set_multiples:0.030497939325869083
08-April-23 16:44:13 - INFO:  del_keys:0.0005088634788990021
08-April-23 16:44:13 - INFO:  set_multiples:0.029677330516278744
08-April-23 16:44:13 - INFO:  del_keys:0.0005065193399786949
08-April-23 16:44:13 - INFO:  get_all:0.022794234566390514
08-April-23 16:44:13 - INFO:  del_keys:0.0025060363113880157
08-April-23 16:44:13 - INFO:  get_all:0.023326337337493896
08-April-23 16:44:13 - INFO:  set_multiples:0.03051263652741909
08-April-23 16:44:13 - INFO:  del_keys:0.00047737453132867813
08-April-23 16:44:13 - INFO:  get_all:0.02381653431802988
08-April-23 16:44:13 - INFO:  set_to:0.0004740450531244278
08-April-23 16:44:13 - INFO:  get_all:0.0005926378071308136
08-April-23 16:44:13 - INFO:  del_keys:0.002803218550980091
08-April-23 16:44:13 - INFO:  set_to:0.0005512535572052002
08-April-23 16:44:13 - INFO:  del_keys:0.0029657743871212006
08-April-23 16:44:13 - INFO:  del_keys:0.0005048215389251709
08-April-23 16:44:13 - INFO:  get_all:0.028037477284669876
08-April-23 16:44:13 - INFO:  del_keys:0.002895182929933071
08-April-23 16:44:13 - INFO:  get_range:0.003826483152806759
08-April-23 16:44:13 - INFO:  del_keys:0.0035886969417333603
08-April-23 16:44:13 - INFO:  get_all:0.0007556388154625893
08-April-23 16:44:13 - INFO:  del_keys:0.0007246220484375954
08-April-23 16:44:13 - INFO:  del_keys:0.0006223991513252258
08-April-23 16:44:13 - INFO:  del_keys:0.0007459213957190514
08-April-23 16:44:13 - INFO:  set_multiples:0.03825034108012915
08-April-23 16:44:13 - INFO:  get_all:0.0287628136575222
08-April-23 16:44:13 - INFO:  del_keys:0.000605718232691288
08-April-23 16:44:13 - INFO:  del_keys:0.003421482630074024
08-April-23 16:44:13 - INFO:  del_keys:0.0031055649742484093
08-April-23 16:44:13 - INFO:  get_all:0.0005121538415551186
08-April-23 16:44:13 - INFO:  get_all:0.02888342645019293
08-April-23 16:44:13 - INFO:  get_all:0.0004930999130010605
08-April-23 16:44:13 - INFO:  get_range:0.0036990446969866753
08-April-23 16:44:13 - INFO:  set_multiples:0.03656211122870445
08-April-23 16:44:13 - INFO:  del_keys:0.0005523711442947388
08-April-23 16:44:14 - INFO:  get_all:0.0253662271425128
08-April-23 16:44:14 - INFO:  set_to:0.0004360666498541832
08-April-23 16:44:14 - INFO:  set_multiples:0.03265722747892141
08-April-23 16:44:14 - INFO:  del_keys:0.0005245674401521683
08-April-23 16:44:14 - INFO:  get_all:0.0005056131631135941
08-April-23 16:44:14 - INFO:  set_multiples:0.03150151018053293
08-April-23 16:44:14 - INFO:  set_multiples:0.029949946328997612
08-April-23 16:44:14 - INFO:  get_range:0.008493307046592236
08-April-23 16:44:14 - INFO:  set_to:0.0004628058522939682
08-April-23 16:44:14 - INFO:  get_all:0.0035391338169574738
08-April-23 16:44:14 - INFO:  set_to:0.0013119261711835861
08-April-23 16:44:14 - INFO:  set_multiples:0.032782893627882004
08-April-23 16:44:14 - INFO:  set_to:0.005678659304976463
08-April-23 16:44:14 - INFO:  set_multiples:0.04049896169453859
08-April-23 16:44:14 - INFO:  get_range:0.003802768886089325
08-April-23 16:44:14 - INFO:  get_range:0.0038266973569989204
08-April-23 16:44:14 - INFO:  get_range:0.0037126773968338966
08-April-23 16:44:14 - INFO:  get_range:0.018799749203026295
08-April-23 16:44:14 - INFO:  set_multiples:0.0445314422249794
08-April-23 16:44:14 - INFO:  get_all:0.0006804782897233963
08-April-23 16:44:14 - INFO:  del_keys:0.0006579253822565079
08-April-23 16:44:14 - INFO:  get_all:0.000619945116341114
08-April-23 16:44:14 - INFO:  get_range:0.00392494909465313
08-April-23 16:44:14 - INFO:  del_keys:0.015826964750885963
08-April-23 16:44:14 - INFO:  set_multiples:0.0412220498546958
08-April-23 16:44:14 - INFO:  del_keys:0.0006737802177667618
08-April-23 16:44:14 - INFO:  del_keys:0.00046773161739110947
08-April-23 16:44:14 - INFO:  del_keys:0.0006921989843249321
08-April-23 16:44:14 - INFO:  set_to:0.00047586020082235336
08-April-23 16:44:14 - INFO:  get_all:0.03643968794494867
08-April-23 16:44:14 - INFO:  set_multiples:0.0754239484667778
08-April-23 16:44:14 - INFO:  set_to:0.0005201362073421478
08-April-23 16:44:14 - INFO:  del_keys:0.004509450867772102
08-April-23 16:44:14 - INFO:  del_keys:0.0047758473083376884
08-April-23 16:44:14 - INFO:  get_all:0.0006163120269775391
08-April-23 16:44:14 - INFO:  set_to:0.0006446028128266335
08-April-23 16:44:14 - INFO:  del_keys:0.003588572144508362
08-April-23 16:44:14 - INFO:  get_all:0.05928595084697008
08-April-23 16:44:14 - INFO:  get_all:0.058346979320049286
08-April-23 16:44:14 - INFO:  set_to:0.0007317028939723969
08-April-23 16:44:14 - INFO:  del_keys:0.003586369566619396
08-April-23 16:44:14 - INFO:  set_to:0.001555263064801693
08-April-23 16:44:14 - INFO:  get_all:0.05969142261892557
08-April-23 16:44:14 - INFO:  set_multiples:0.05042963568121195
08-April-23 16:44:14 - INFO:  set_to:0.0005135033279657364
08-April-23 16:44:14 - INFO:  del_keys:0.00041970144957304
08-April-23 16:44:14 - INFO:  del_keys:0.0015611285343766212
08-April-23 16:44:14 - INFO:  get_range:0.004410676658153534
08-April-23 16:44:14 - INFO:  del_keys:0.0006525171920657158
08-April-23 16:44:14 - INFO:  set_to:0.010451357811689377
08-April-23 16:44:14 - INFO:  set_multiples:0.040267049334943295
08-April-23 16:44:14 - INFO:  set_to:0.01568458043038845
08-April-23 16:44:14 - INFO:  set_multiples:0.041191562078893185
08-April-23 16:44:14 - INFO:  del_keys:0.0036048777401447296
08-April-23 16:44:14 - INFO:  get_range:0.003957478329539299
08-April-23 16:44:14 - INFO:  del_keys:0.0035929642617702484
08-April-23 16:44:14 - INFO:  del_keys:0.0009998530149459839
08-April-23 16:44:14 - INFO:  get_range:0.004125900566577911
08-April-23 16:44:14 - INFO:  get_all:0.0014411685988307
08-April-23 16:44:14 - INFO:  get_all:0.030379099771380424
08-April-23 16:44:14 - INFO:  del_keys:0.0034706061705946922
08-April-23 16:44:14 - INFO:  del_keys:0.0034221140667796135
08-April-23 16:44:14 - INFO:  get_all:0.0016426276415586472
08-April-23 16:44:14 - INFO:  set_to:0.0005991002544760704
08-April-23 16:44:14 - INFO:  del_keys:0.004854569211602211
08-April-23 16:44:14 - INFO:  del_keys:0.004723955877125263
08-April-23 16:44:14 - INFO:  get_all:0.0006247116252779961
08-April-23 16:44:14 - INFO:  set_to:0.0005300082266330719
08-April-23 16:44:14 - INFO:  get_all:0.004435867071151733
08-April-23 16:44:14 - INFO:  get_all:0.030043737031519413
08-April-23 16:44:14 - INFO:  del_keys:0.0035187043249607086
08-April-23 16:44:14 - INFO:  del_keys:0.0007609101012349129
08-April-23 16:44:14 - INFO:  del_keys:0.0008503049612045288
08-April-23 16:44:14 - INFO:  set_to:0.0007048537954688072
08-April-23 16:44:14 - INFO:  set_to:0.0004854099825024605
08-April-23 16:44:14 - INFO:  get_range:0.011563021689653397
08-April-23 16:44:15 - INFO:  get_all:0.03181271534413099
08-April-23 16:44:15 - INFO:  get_all:0.00611572340130806
08-April-23 16:44:15 - INFO:  set_multiples:0.04108010604977608
08-April-23 16:44:15 - INFO:  del_keys:0.008075142279267311
08-April-23 16:44:15 - INFO:  set_multiples:0.04344389587640762
08-April-23 16:44:15 - INFO:  del_keys:0.0006585884839296341
08-April-23 16:44:15 - INFO:  get_range:0.003943632356822491
08-April-23 16:44:15 - INFO:  set_to:0.000650881789624691
08-April-23 16:44:15 - INFO:  get_range:0.0038895532488822937
08-April-23 16:44:15 - INFO:  get_range:0.0024445606395602226
08-April-23 16:44:15 - INFO:  get_all:0.0007191607728600502
08-April-23 16:44:15 - INFO:  get_all:0.0009017921984195709
08-April-23 16:44:15 - INFO:  set_to:0.00048559531569480896
08-April-23 16:44:15 - INFO:  get_all:0.0006252573803067207
08-April-23 16:44:15 - INFO:  del_keys:0.004757532849907875
08-April-23 16:44:15 - INFO:  get_range:0.0053274743258953094
08-April-23 16:44:15 - INFO:  get_all:0.005150400102138519
08-April-23 16:44:15 - INFO:  get_all:0.013022860512137413
08-April-23 16:44:15 - INFO:  get_all:0.054496108554303646
08-April-23 16:44:15 - INFO:  get_all:0.0014385301619768143
08-April-23 16:44:15 - INFO:  set_multiples:0.059204994700849056
08-April-23 16:44:15 - INFO:  set_to:0.0005363393574953079
08-April-23 16:44:15 - INFO:  del_keys:0.016145607456564903
08-April-23 16:44:15 - INFO:  get_range:0.015055022202432156
08-April-23 16:44:15 - INFO:  get_all:0.03890856821089983
08-April-23 16:44:15 - INFO:  get_range:0.01449438463896513
08-April-23 16:44:15 - INFO:  set_multiples:0.08024713397026062
08-April-23 16:44:15 - INFO:  del_keys:0.008453980088233948
08-April-23 16:44:15 - INFO:  set_multiples:0.05226405989378691
08-April-23 16:44:15 - INFO:  get_all:0.0007425080984830856
08-April-23 16:44:15 - INFO:  set_to:0.0008439347147941589
08-April-23 16:44:15 - INFO:  del_keys:0.0045530349016189575
08-April-23 16:44:15 - INFO:  set_to:0.0010055135935544968
08-April-23 16:44:15 - INFO:  get_range:0.005324085243046284
08-April-23 16:44:15 - INFO:  get_range:0.008010041899979115
08-April-23 16:44:15 - INFO:  get_all:0.003201785497367382
08-April-23 16:44:15 - INFO:  set_multiples:0.04488473292440176
08-April-23 16:44:15 - INFO:  del_keys:0.0036392761394381523
08-April-23 16:44:15 - INFO:  get_all:0.002213563770055771
08-April-23 16:44:15 - INFO:  set_to:0.0007187994197010994
08-April-23 16:44:15 - INFO:  set_to:0.0005547059699892998
08-April-23 16:44:15 - INFO:  set_to:0.0005781026557087898
