16-April-23 13:21:52 - INFO:  get_range:0.004635155200958252
16-April-23 13:21:53 - INFO:  get_range:0.0021923696622252464
16-April-23 13:21:53 - INFO:  get_range:0.002396784722805023
16-April-23 13:21:53 - INFO:  get_range:0.0026733577251434326
16-April-23 13:21:53 - INFO:  get_range:0.0032182177528738976
16-April-23 13:21:54 - INFO:  get_range:0.003883284516632557
16-April-23 13:21:54 - INFO:  get_range:0.003995354287326336
16-April-23 13:21:54 - INFO:  get_range:0.003008454106748104
16-April-23 13:21:54 - INFO:  get_range:0.003141665831208229
16-April-23 13:21:54 - INFO:  get_range:0.0034712934866547585
16-April-23 13:21:54 - INFO:  get_range:0.0038895048201084137
16-April-23 13:21:54 - INFO:  get_range:0.003916425630450249
16-April-23 13:21:54 - INFO:  get_range:0.00393485464155674
16-April-23 13:21:54 - INFO:  get_range:0.003962968476116657
16-April-23 13:21:54 - INFO:  get_range:0.0025352640077471733
16-April-23 13:21:55 - INFO:  get_range:0.003362576477229595
16-April-23 13:21:55 - INFO:  get_range:0.003643590956926346
16-April-23 13:21:55 - INFO:  get_range:0.003918629139661789
16-April-23 13:21:55 - INFO:  get_range:0.003793414682149887
16-April-23 13:21:55 - INFO:  get_range:0.003964338451623917
16-April-23 13:21:55 - INFO:  get_range:0.0040133241564035416
16-April-23 13:21:55 - INFO:  get_range:0.002968037500977516
16-April-23 13:21:55 - INFO:  get_range:0.0034479834139347076
16-April-23 13:21:55 - INFO:  get_range:0.003951230086386204
16-April-23 13:21:55 - INFO:  get_range:0.0039948271587491035
16-April-23 13:21:55 - INFO:  get_range:0.003958440385758877
16-April-23 13:21:55 - INFO:  get_range:0.003976133652031422
16-April-23 13:21:55 - INFO:  get_range:0.0038224784657359123
16-April-23 13:21:56 - INFO:  get_range:0.00404441449791193
16-April-23 13:21:56 - INFO:  get_range:0.003049626015126705
16-April-23 13:21:56 - INFO:  get_range:0.003524462692439556
16-April-23 13:21:56 - INFO:  get_range:0.0032428372651338577
16-April-23 13:21:57 - INFO:  get_range:0.0033601606264710426
16-April-23 13:21:57 - INFO:  get_range:0.0034484192728996277
16-April-23 13:21:57 - INFO:  get_range:0.0037085656076669693
16-April-23 13:21:57 - INFO:  get_range:0.003842189908027649
16-April-23 13:21:57 - INFO:  get_range:0.003930210135877132
16-April-23 13:21:57 - INFO:  get_range:0.0038449931889772415
16-April-23 13:21:57 - INFO:  get_range:0.003731231205165386
16-April-23 13:21:57 - INFO:  get_range:0.003986612893640995
16-April-23 13:21:57 - INFO:  get_range:0.003673713654279709
16-April-23 13:21:57 - INFO:  get_range:0.0037425942718982697
16-April-23 13:21:57 - INFO:  get_range:0.003857644274830818
16-April-23 13:21:58 - INFO:  get_range:0.0031421324238181114
16-April-23 13:21:58 - INFO:  get_range:0.0031539183109998703
16-April-23 13:21:58 - INFO:  get_range:0.002759709022939205
16-April-23 13:21:58 - INFO:  get_range:0.0033709341660141945
16-April-23 13:21:58 - INFO:  get_range:0.003929834812879562
16-April-23 13:21:58 - INFO:  get_range:0.003280225209891796
16-April-23 13:21:59 - INFO:  get_range:0.0031329747289419174
16-April-23 13:21:59 - INFO:  get_range:0.003552584908902645
16-April-23 13:21:59 - INFO:  get_range:0.003700212575495243
16-April-23 13:21:59 - INFO:  get_range:0.003140863962471485
16-April-23 13:21:59 - INFO:  get_range:0.0034300507977604866
16-April-23 13:21:59 - INFO:  get_range:0.0035949843004345894
16-April-23 13:21:59 - INFO:  get_range:0.003527251072227955
16-April-23 13:21:59 - INFO:  get_range:0.003731955774128437
16-April-23 13:21:59 - INFO:  get_range:0.0036006933078169823
16-April-23 13:21:59 - INFO:  get_range:0.003971136175096035
16-April-23 13:22:00 - INFO:  get_range:0.0039680032059550285
16-April-23 13:22:00 - INFO:  get_range:0.003921603783965111
16-April-23 13:22:00 - INFO:  get_range:0.0036226538941264153
16-April-23 13:22:00 - INFO:  get_range:0.003984999842941761
16-April-23 13:22:00 - INFO:  get_range:0.0032691722735762596
16-April-23 13:22:00 - INFO:  get_range:0.003989743068814278
16-April-23 13:22:01 - INFO:  get_range:0.003924391232430935
16-April-23 13:22:01 - INFO:  get_range:0.003861050121486187
16-April-23 13:22:01 - INFO:  get_range:0.0035780444741249084
16-April-23 13:22:01 - INFO:  get_range:0.00392495933920145
16-April-23 13:22:01 - INFO:  get_range:0.0038880156353116035
16-April-23 13:22:01 - INFO:  get_range:0.002747252583503723
16-April-23 13:22:02 - INFO:  get_range:0.0033341767266392708
16-April-23 13:22:02 - INFO:  get_range:0.003948589786887169
16-April-23 13:22:02 - INFO:  get_range:0.0038150548934936523
16-April-23 13:22:02 - INFO:  get_range:0.0036445502191781998
16-April-23 13:22:02 - INFO:  get_range:0.003884878009557724
16-April-23 13:22:03 - INFO:  get_range:0.003330044448375702
16-April-23 13:22:03 - INFO:  get_range:0.0034427717328071594
16-April-23 13:22:03 - INFO:  get_range:0.003271627239882946
16-April-23 13:22:03 - INFO:  get_range:0.0030577704310417175
16-April-23 13:22:03 - INFO:  get_range:0.0039653480052948
16-April-23 13:22:03 - INFO:  get_range:0.0035002324730157852
16-April-23 13:22:03 - INFO:  get_range:0.00391859095543623
16-April-23 13:22:03 - INFO:  get_range:0.003929439932107925
16-April-23 13:22:03 - INFO:  get_range:0.0036508291959762573
16-April-23 13:22:03 - INFO:  get_range:0.0030843643471598625
16-April-23 13:22:04 - INFO:  get_range:0.00367911159992218
16-April-23 13:22:04 - INFO:  get_range:0.003833276219666004
16-April-23 13:22:04 - INFO:  get_range:0.0033765649423003197
16-April-23 13:22:04 - INFO:  get_range:0.003321702592074871
16-April-23 13:22:04 - INFO:  get_range:0.0034875813871622086
16-April-23 13:22:04 - INFO:  get_range:0.0033360905945301056
16-April-23 13:22:04 - INFO:  get_range:0.0030050724744796753
16-April-23 13:22:04 - INFO:  get_range:0.003702860325574875
16-April-23 13:22:04 - INFO:  get_range:0.003781505860388279
16-April-23 13:22:04 - INFO:  get_range:0.003925139084458351
16-April-23 13:22:05 - INFO:  get_range:0.003521670587360859
16-April-23 13:22:05 - INFO:  get_range:0.003309863619506359
16-April-23 13:22:05 - INFO:  get_range:0.0037924842908978462
16-April-23 13:22:05 - INFO:  get_range:0.0035615237429738045
16-April-23 13:22:05 - INFO:  get_range:0.003852210007607937
16-April-23 13:22:05 - INFO:  get_range:0.003900849260389805
16-April-23 13:22:05 - INFO:  get_range:0.0036405501887202263
16-April-23 13:22:05 - INFO:  get_range:0.0035415682941675186
16-April-23 13:22:05 - INFO:  get_range:0.0038048336282372475
16-April-23 13:22:05 - INFO:  get_range:0.003702908754348755
16-April-23 13:22:05 - INFO:  get_range:0.00397204514592886
16-April-23 13:22:06 - INFO:  get_range:0.003990692086517811
16-April-23 13:22:06 - INFO:  get_range:0.0035968944430351257
16-April-23 13:22:06 - INFO:  get_range:0.003920114599168301
16-April-23 13:22:06 - INFO:  get_range:0.003880465403199196
16-April-23 13:22:06 - INFO:  get_range:0.003583896905183792
16-April-23 13:22:06 - INFO:  get_range:0.0039045102894306183
16-April-23 13:22:06 - INFO:  get_range:0.00388502050191164
16-April-23 13:22:07 - INFO:  get_range:0.003706265240907669
16-April-23 13:22:07 - INFO:  get_range:0.0037796515971422195
16-April-23 13:22:07 - INFO:  get_range:0.0038996972143650055
16-April-23 13:22:07 - INFO:  get_range:0.0035033682361245155
16-April-23 13:22:07 - INFO:  get_range:0.003927918151021004
16-April-23 13:22:07 - INFO:  get_range:0.0032108714804053307
16-April-23 13:22:08 - INFO:  get_range:0.0033922819420695305
16-April-23 13:22:08 - INFO:  get_range:0.0032402947545051575
16-April-23 13:22:08 - INFO:  get_range:0.0030193738639354706
16-April-23 13:22:08 - INFO:  get_range:0.0038697663694620132
16-April-23 13:22:08 - INFO:  get_range:0.0038937795907258987
16-April-23 13:22:08 - INFO:  get_range:0.003593294881284237
16-April-23 13:22:08 - INFO:  get_range:0.0038676876574754715
16-April-23 13:22:08 - INFO:  get_range:0.0033323150128126144
16-April-23 13:22:09 - INFO:  get_range:0.003600064665079117
16-April-23 13:22:09 - INFO:  get_range:0.003396785818040371
16-April-23 13:22:09 - INFO:  get_range:0.003917827270925045
16-April-23 13:22:09 - INFO:  get_range:0.003938495181500912
