16-April-23 13:04:12 - INFO:  ---------------------------------------------------------------------------------------------------
16-April-23 13:04:37 - INFO:  set_to:0.0026399213820695877
16-April-23 13:04:37 - INFO:  get_range:0.006798473186790943
16-April-23 13:04:37 - INFO:  get_single:0.0004354119300842285
16-April-23 13:04:37 - INFO:  get_range:0.0045805685222148895
16-April-23 13:04:37 - INFO:  del_single:0.0005324026569724083
16-April-23 13:04:37 - INFO:  get_single:0.0005303304642438889
16-April-23 13:04:37 - INFO:  get_single:0.0004558376967906952
16-April-23 13:04:37 - INFO:  get_range:0.005431574769318104
16-April-23 13:04:37 - INFO:  get_multiple:0.02678212895989418
16-April-23 13:04:37 - INFO:  del_single:0.0004836171865463257
16-April-23 13:04:37 - INFO:  del_multiple:0.005477411672472954
16-April-23 13:04:37 - INFO:  set_multiples:0.03901383373886347
16-April-23 13:04:37 - INFO:  get_range:0.006008351221680641
16-April-23 13:04:37 - INFO:  set_multiples:0.038613978773355484
16-April-23 13:04:37 - INFO:  get_range:0.006012041121721268
16-April-23 13:04:37 - INFO:  del_single:0.0005007339641451836
16-April-23 13:04:37 - INFO:  get_single:0.0005780952051281929
16-April-23 13:04:37 - INFO:  set_multiples:0.043599474243819714
16-April-23 13:04:37 - INFO:  get_range:0.006287560798227787
16-April-23 13:04:37 - INFO:  del_single:0.0005188044160604477
16-April-23 13:04:37 - INFO:  del_multiple:0.005944936536252499
16-April-23 13:04:37 - INFO:  del_single:0.0005990080535411835
16-April-23 13:04:37 - INFO:  del_multiple:0.006061548367142677
16-April-23 13:04:37 - INFO:  get_multiple:0.03501731622964144
16-April-23 13:04:37 - INFO:  get_single:0.0005207164213061333
16-April-23 13:04:37 - INFO:  get_range:0.006531605497002602
16-April-23 13:04:37 - INFO:  del_single:0.0005720742046833038
16-April-23 13:04:37 - INFO:  get_multiple:0.03491638507694006
16-April-23 13:04:37 - INFO:  del_single:0.000498100183904171
16-April-23 13:04:37 - INFO:  del_single:0.0005081770941615105
16-April-23 13:04:37 - INFO:  del_multiple:0.0059966640546917915
16-April-23 13:04:37 - INFO:  del_single:0.00044326018542051315
16-April-23 13:04:37 - INFO:  get_single:0.0005488879978656769
16-April-23 13:04:37 - INFO:  del_single:0.0005521578714251518
16-April-23 13:04:37 - INFO:  del_single:0.0005229534581303596
16-April-23 13:04:37 - INFO:  get_multiple:0.034232486970722675
16-April-23 13:04:38 - INFO:  get_single:0.0006674062460660934
16-April-23 13:04:38 - INFO:  del_multiple:0.005824198946356773
16-April-23 13:04:38 - INFO:  set_multiples:0.04695859272032976
16-April-23 13:04:38 - INFO:  get_single:0.000584128312766552
16-April-23 13:04:38 - INFO:  get_multiple:0.03395365830510855
16-April-23 13:04:38 - INFO:  set_to:0.0005087302997708321
16-April-23 13:04:38 - INFO:  del_multiple:0.0057852985337376595
16-April-23 13:04:38 - INFO:  set_multiples:0.04465824086219072
