16-April-23 13:04:37 - INFO:  set_to:0.0026399213820695877
16-April-23 13:04:38 - INFO:  set_to:0.0005087302997708321
16-April-23 13:04:38 - INFO:  set_to:0.0005488181486725807
16-April-23 13:04:38 - INFO:  set_to:0.0005601728335022926
16-April-23 13:04:38 - INFO:  set_to:0.0006066150963306427
16-April-23 13:04:38 - INFO:  set_to:0.000544324517250061
16-April-23 13:04:38 - INFO:  set_to:0.0005483413115143776
16-April-23 13:04:38 - INFO:  set_to:0.0005421526730060577
16-April-23 13:04:38 - INFO:  set_to:0.0005624629557132721
16-April-23 13:04:38 - INFO:  set_to:0.0005551259964704514
16-April-23 13:04:38 - INFO:  set_to:0.0005602957680821419
16-April-23 13:04:38 - INFO:  set_to:0.0006274664774537086
16-April-23 13:04:39 - INFO:  set_to:0.0005899416282773018
16-April-23 13:04:39 - INFO:  set_to:0.0005437610670924187
16-April-23 13:04:39 - INFO:  set_to:0.0005412818863987923
16-April-23 13:04:39 - INFO:  set_to:0.0006907740607857704
16-April-23 13:04:39 - INFO:  set_to:0.0005421051755547523
16-April-23 13:04:39 - INFO:  set_to:0.0005794381722807884
16-April-23 13:04:39 - INFO:  set_to:0.0005520805716514587
16-April-23 13:04:40 - INFO:  set_to:0.0005207778885960579
16-April-23 13:04:40 - INFO:  set_to:0.0005127126350998878
16-April-23 13:04:41 - INFO:  set_to:0.0005423882976174355
16-April-23 13:04:41 - INFO:  set_to:0.0005533145740628242
16-April-23 13:04:41 - INFO:  set_to:0.0005239928141236305
16-April-23 13:04:41 - INFO:  set_to:0.0005448786541819572
16-April-23 13:04:41 - INFO:  set_to:0.0005435468629002571
16-April-23 13:04:41 - INFO:  set_to:0.0006907172501087189
16-April-23 13:04:41 - INFO:  set_to:0.0005718059837818146
16-April-23 13:04:42 - INFO:  set_to:0.0005511632189154625
16-April-23 13:04:42 - INFO:  set_to:0.0005977675318717957
16-April-23 13:04:42 - INFO:  set_to:0.000598762184381485
16-April-23 13:04:42 - INFO:  set_to:0.00048724841326475143
16-April-23 13:04:42 - INFO:  set_to:0.000636707991361618
16-April-23 13:04:42 - INFO:  set_to:0.0006039543077349663
16-April-23 13:04:42 - INFO:  set_to:0.0005407016724348068
16-April-23 13:04:42 - INFO:  set_to:0.0005473755300045013
16-April-23 13:04:42 - INFO:  set_to:0.0005174176767468452
16-April-23 13:04:43 - INFO:  set_to:0.0006058113649487495
16-April-23 13:04:43 - INFO:  set_to:0.0006082030013203621
16-April-23 13:04:43 - INFO:  set_to:0.0004985220730304718
16-April-23 13:04:43 - INFO:  set_to:0.0005468511953949928
16-April-23 13:04:43 - INFO:  set_to:0.0005864882841706276
16-April-23 13:04:43 - INFO:  set_to:0.0005318401381373405
16-April-23 13:04:43 - INFO:  set_to:0.0005380436778068542
16-April-23 13:04:43 - INFO:  set_to:0.0005312114953994751
16-April-23 13:04:43 - INFO:  set_to:0.00046107079833745956
16-April-23 13:04:43 - INFO:  set_to:0.000664861872792244
16-April-23 13:04:44 - INFO:  set_to:0.0006361827254295349
16-April-23 13:04:44 - INFO:  set_to:0.0005729822441935539
16-April-23 13:04:44 - INFO:  set_to:0.0005275066941976547
16-April-23 13:04:44 - INFO:  set_to:0.0005517518147826195
16-April-23 13:04:44 - INFO:  set_to:0.0005718786269426346
16-April-23 13:04:44 - INFO:  set_to:0.0005889926105737686
16-April-23 13:04:44 - INFO:  set_to:0.0006154719740152359
16-April-23 13:04:44 - INFO:  set_to:0.0005532568320631981
16-April-23 13:04:44 - INFO:  set_to:0.0006057526916265488
16-April-23 13:04:44 - INFO:  set_to:0.0006179232150316238
16-April-23 13:04:44 - INFO:  set_to:0.0005060769617557526
16-April-23 13:04:45 - INFO:  set_to:0.0005530864000320435
16-April-23 13:04:45 - INFO:  set_to:0.0005746772512793541
16-April-23 13:04:45 - INFO:  set_to:0.0006049657240509987
16-April-23 13:04:46 - INFO:  set_to:0.0005942285060882568
16-April-23 13:04:46 - INFO:  set_to:0.0005401680245995522
16-April-23 13:04:46 - INFO:  set_to:0.000503886491060257
16-April-23 13:04:46 - INFO:  set_to:0.000533021055161953
16-April-23 13:04:46 - INFO:  set_to:0.0005146414041519165
16-April-23 13:04:46 - INFO:  set_to:0.0006071627140045166
16-April-23 13:04:47 - INFO:  set_to:0.0005542980507016182
16-April-23 13:04:47 - INFO:  set_to:0.000547284260392189
