02-April-23 08:56:13 - INFO:  ---------------------------------------------------------------------------------------------------
02-April-23 08:58:01 - INFO:  set_to:0.0026445966213941574
02-April-23 08:58:01 - INFO:  set_to:0.004078006371855736
02-April-23 08:58:01 - INFO:  set_to:0.01536634936928749
02-April-23 08:58:01 - INFO:  set_multiples:0.06447518337517977
02-April-23 08:58:01 - INFO:  set_to:0.02068865578621626
02-April-23 08:58:01 - INFO:  set_multiples:0.05606164503842592
02-April-23 08:58:01 - INFO:  set_multiples:0.06551042106002569
02-April-23 08:58:01 - INFO:  set_multiples:0.06240753922611475
02-April-23 08:58:01 - INFO:  set_to:0.00436303298920393
02-April-23 08:58:01 - INFO:  set_multiples:0.03961304761469364
02-April-23 08:58:01 - INFO:  set_to:0.0012213066220283508
02-April-23 08:58:01 - INFO:  set_multiples:0.011852213181555271
02-April-23 08:58:01 - INFO:  set_to:0.0015943506732583046
02-April-23 08:58:01 - INFO:  set_to:0.0015674382448196411
02-April-23 08:58:01 - INFO:  set_to:0.00046867039054632187
02-April-23 08:58:01 - INFO:  set_multiples:0.03466447535902262
02-April-23 08:58:01 - INFO:  set_to:0.0013243220746517181
02-April-23 08:58:01 - INFO:  set_to:0.03974813595414162
02-April-23 08:58:02 - INFO:  set_to:0.0005839355289936066
02-April-23 08:58:02 - INFO:  set_to:0.012177172116935253
02-April-23 08:58:02 - INFO:  set_multiples:0.12349628657102585
02-April-23 08:58:02 - INFO:  set_to:0.04761501029133797
02-April-23 08:58:02 - INFO:  set_to:0.006433242000639439
02-April-23 08:58:02 - INFO:  set_to:0.0006860904395580292
02-April-23 08:58:02 - INFO:  set_to:0.006002708338201046
02-April-23 08:58:02 - INFO:  set_multiples:0.08953869715332985
02-April-23 08:58:02 - INFO:  set_multiples:0.14198298566043377
02-April-23 08:58:02 - INFO:  set_to:0.004067973233759403
02-April-23 08:58:02 - INFO:  set_multiples:0.1219681752845645
02-April-23 08:58:02 - INFO:  set_multiples:0.04887010250240564
02-April-23 08:58:02 - INFO:  set_to:0.0005944445729255676
02-April-23 08:58:02 - INFO:  set_multiples:0.041212284937500954
02-April-23 08:58:02 - INFO:  set_to:0.008218490518629551
02-April-23 08:58:02 - INFO:  set_multiples:0.08133578486740589
02-April-23 08:58:02 - INFO:  set_to:0.002743772231042385
02-April-23 08:58:02 - INFO:  set_multiples:0.03243421483784914
02-April-23 08:58:02 - INFO:  set_to:0.00419753510504961
02-April-23 08:58:02 - INFO:  set_multiples:0.016478131525218487
02-April-23 08:58:02 - INFO:  set_multiples:0.04830646328628063
02-April-23 08:58:02 - INFO:  set_multiples:0.07919175084680319
02-April-23 08:58:02 - INFO:  set_multiples:0.10287180170416832
02-April-23 08:58:02 - INFO:  set_multiples:0.10872085578739643
02-April-23 08:58:02 - INFO:  set_multiples:0.1513082990422845
